,G
2018-01-08 10:52:00,15373.7990913
2018-01-08 10:53:00,15373.7990913
2018-01-08 10:54:00,15373.7990913
2018-01-08 10:55:00,15373.7990913
2018-01-08 10:56:00,15373.7990913
2018-01-08 10:57:00,15373.7990913
2018-01-08 10:58:00,15373.7990913
2018-01-08 10:59:00,15373.7990913
2018-01-08 11:00:00,16938.8242413
2018-01-08 11:01:00,16938.8242413
2018-01-08 11:02:00,16938.8242413
2018-01-08 11:03:00,16938.8242413
2018-01-08 11:04:00,16938.8242413
2018-01-08 11:05:00,16938.8242413
2018-01-08 11:06:00,16938.8242413
2018-01-08 11:07:00,16938.8242413
2018-01-08 11:08:00,16938.8242413
2018-01-08 11:09:00,16938.8242413
2018-01-08 11:10:00,16938.8242413
2018-01-08 11:11:00,16938.8242413
2018-01-08 11:12:00,16938.8242413
2018-01-08 11:13:00,16938.8242413
2018-01-08 11:14:00,16938.8242413
2018-01-08 11:15:00,16938.8242413
2018-01-08 11:16:00,16938.8242413
2018-01-08 11:17:00,16938.8242413
2018-01-08 11:18:00,16938.8242413
2018-01-08 11:19:00,16938.8242413
2018-01-08 11:20:00,16938.8242413
2018-01-08 11:21:00,16938.8242413
2018-01-08 11:22:00,16938.8242413
2018-01-08 11:23:00,16938.8242413
2018-01-08 11:24:00,16938.8242413
2018-01-08 11:25:00,16938.8242413
2018-01-08 11:26:00,16938.8242413
2018-01-08 11:27:00,16938.8242413
2018-01-08 11:28:00,16938.8242413
2018-01-08 11:29:00,16938.8242413
2018-01-08 11:30:00,16938.8242413
2018-01-08 11:31:00,16938.8242413
2018-01-08 11:32:00,16938.8242413
2018-01-08 11:33:00,16938.8242413
2018-01-08 11:34:00,16938.8242413
2018-01-08 11:35:00,16938.8242413
2018-01-08 11:36:00,16938.8242413
2018-01-08 11:37:00,16938.8242413
2018-01-08 11:38:00,16938.8242413
2018-01-08 11:39:00,16938.8242413
2018-01-08 11:40:00,16938.8242413
2018-01-08 11:41:00,16938.8242413
2018-01-08 11:42:00,16938.8242413
2018-01-08 11:43:00,16938.8242413
2018-01-08 11:44:00,16938.8242413
2018-01-08 11:45:00,16938.8242413
2018-01-08 11:46:00,16938.8242413
2018-01-08 11:47:00,16938.8242413
2018-01-08 11:48:00,16938.8242413
2018-01-08 11:49:00,16938.8242413
2018-01-08 11:50:00,16938.8242413
2018-01-08 11:51:00,16938.8242413
2018-01-08 11:52:00,16938.8242413
2018-01-08 11:53:00,16938.8242413
2018-01-08 11:54:00,16938.8242413
2018-01-08 11:55:00,16938.8242413
2018-01-08 11:56:00,16938.8242413
2018-01-08 11:57:00,16938.8242413
2018-01-08 11:58:00,16938.8242413
2018-01-08 11:59:00,16938.8242413
2018-01-09 01:59:00,16938.8242413
2018-01-09 02:00:00,16938.8242413
2018-01-09 02:01:00,16938.8242413
2018-01-09 02:02:00,16938.8242413
2018-01-09 02:03:00,16938.8242413
2018-01-09 02:04:00,16938.8242413
2018-01-09 02:05:00,16938.8242413
2018-01-09 02:06:00,16938.8242413
2018-01-09 02:07:00,16938.8242413
2018-01-09 02:08:00,16938.8242413
2018-01-09 02:09:00,16938.8242413
2018-01-09 02:10:00,16938.8242413
2018-01-09 02:11:00,16938.8242413
2018-01-09 02:12:00,16938.8242413
2018-01-09 02:13:00,16938.8242413
2018-01-09 02:14:00,16938.8242413
2018-01-09 02:15:00,16938.8242413
2018-01-09 02:16:00,16938.8242413
2018-01-09 02:17:00,16938.8242413
2018-01-09 02:18:00,16938.8242413
2018-01-09 02:19:00,16938.8242413
2018-01-09 02:20:00,16938.8242413
2018-01-09 02:21:00,16938.8242413
2018-01-09 02:22:00,16938.8242413
2018-01-09 02:23:00,16938.8242413
2018-01-09 02:24:00,16938.8242413
2018-01-09 02:25:00,16938.8242413
2018-01-09 02:26:00,16938.8242413
2018-01-09 02:27:00,16938.8242413
2018-01-09 02:28:00,16938.8242413
2018-01-09 02:29:00,16938.8242413
2018-01-09 02:30:00,16938.8242413
2018-01-09 02:31:00,16938.8242413
2018-01-09 02:32:00,16938.8242413
2018-01-09 02:33:00,15426.8507913
2018-01-09 02:34:00,15373.7990913
2018-01-09 02:35:00,15373.7990913
2018-01-09 02:36:00,15373.7990913
2018-01-09 02:37:00,15426.8507913
2018-01-09 02:38:00,15426.8507913
2018-01-09 02:39:00,15426.8507913
2018-01-09 02:40:00,15426.8507913
2018-01-09 02:41:00,15426.8507913
2018-01-09 02:42:00,15479.9024913
2018-01-09 02:43:00,15479.9024913
2018-01-09 02:44:00,15479.9024913
2018-01-09 02:45:00,15479.9024913
2018-01-09 02:46:00,15479.9024913
2018-01-09 02:47:00,15479.9024913
2018-01-09 02:48:00,15479.9024913
2018-01-09 02:49:00,15479.9024913
2018-01-09 02:50:00,15479.9024913
2018-01-09 02:51:00,15479.9024913
2018-01-09 02:52:00,15479.9024913
2018-01-09 02:53:00,15479.9024913
2018-01-09 02:54:00,15479.9024913
2018-01-09 02:55:00,15532.9541913
2018-01-09 02:56:00,15532.9541913
2018-01-09 02:57:00,15479.9024913
2018-01-09 02:58:00,15479.9024913
2018-01-09 02:59:00,15479.9024913
2018-01-09 03:00:00,15426.8507913
2018-01-09 03:01:00,15479.9024913
2018-01-09 03:02:00,15479.9024913
2018-01-09 03:03:00,15479.9024913
2018-01-09 03:04:00,15479.9024913
2018-01-09 03:05:00,15479.9024913
2018-01-09 03:06:00,15479.9024913
2018-01-09 03:07:00,15479.9024913
2018-01-09 03:08:00,15479.9024913
2018-01-09 03:09:00,15479.9024913
2018-01-09 03:10:00,15479.9024913
2018-01-09 03:11:00,15479.9024913
2018-01-09 03:12:00,15479.9024913
2018-01-09 03:13:00,15479.9024913
2018-01-09 03:14:00,15479.9024913
2018-01-09 03:15:00,15479.9024913
2018-01-09 03:16:00,15479.9024913
2018-01-09 03:17:00,15479.9024913
2018-01-09 03:18:00,15479.9024913
2018-01-09 03:19:00,15479.9024913
2018-01-09 03:20:00,15479.9024913
2018-01-09 03:21:00,15479.9024913
2018-01-09 03:22:00,15479.9024913
2018-01-09 03:23:00,15479.9024913
2018-01-09 03:24:00,15479.9024913
2018-01-09 03:25:00,15479.9024913
2018-01-09 03:26:00,15479.9024913
2018-01-09 03:27:00,15479.9024913
2018-01-09 03:28:00,15479.9024913
2018-01-09 03:29:00,15479.9024913
2018-01-09 03:30:00,15479.9024913
2018-01-09 03:31:00,15479.9024913
2018-01-09 03:32:00,15479.9024913
2018-01-09 03:33:00,15479.9024913
2018-01-09 03:34:00,15479.9024913
2018-01-09 03:35:00,15479.9024913
2018-01-09 03:36:00,15479.9024913
2018-01-09 03:37:00,15479.9024913
2018-01-09 03:38:00,15479.9024913
2018-01-09 03:39:00,15479.9024913
2018-01-09 03:40:00,15479.9024913
2018-01-09 03:41:00,15479.9024913
2018-01-09 03:42:00,15479.9024913
2018-01-09 03:43:00,15479.9024913
2018-01-09 03:44:00,15479.9024913
2018-01-09 03:45:00,15479.9024913
2018-01-09 03:46:00,15479.9024913
2018-01-09 03:47:00,15426.8507913
2018-01-09 03:48:00,15426.8507913
