,PA
2018-07-16 15:23:00,8228.6092076
2018-07-16 15:24:00,8228.6092076
2018-07-16 15:25:00,8228.6092076
2018-07-16 15:26:00,8228.6092076
2018-07-16 15:27:00,8230.5192076
2018-07-16 15:28:00,8230.5192076
2018-07-16 15:29:00,8230.5192076
2018-07-16 15:30:00,8222.8792076
2018-07-16 15:31:00,8222.8792076
2018-07-16 15:32:00,8221.9242076
2018-07-16 15:33:00,8221.9242076
2018-07-16 15:34:00,8221.9242076
2018-07-16 15:35:00,8221.9242076
2018-07-16 15:36:00,8222.8792076
2018-07-16 15:37:00,8222.8792076
2018-07-16 15:38:00,8221.9242076
2018-07-16 15:39:00,8221.9242076
2018-07-16 15:40:00,8221.9242076
2018-07-16 15:41:00,8221.9242076
2018-07-16 15:42:00,8221.9242076
2018-07-16 15:43:00,8221.9242076
2018-07-16 15:44:00,8221.9242076
2018-07-16 15:45:00,8220.9692076
2018-07-16 15:46:00,8220.9692076
2018-07-16 15:47:00,8219.0592076
2018-07-16 15:48:00,8220.9692076
2018-07-16 15:49:00,8220.9692076
2018-07-16 15:50:00,8220.9692076
2018-07-16 15:51:00,8220.9692076
2018-07-16 15:52:00,8220.9692076
2018-07-16 15:53:00,8220.9692076
2018-07-16 15:54:00,8220.9692076
2018-07-16 15:55:00,8220.9692076
2018-07-16 15:56:00,8220.0142076
2018-07-16 15:57:00,8220.9692076
2018-07-16 15:58:00,8226.6992076
2018-07-16 15:59:00,8227.6542076
2018-07-16 16:59:00,8224.7892076
2018-07-16 17:00:00,8223.8342076
2018-07-16 17:01:00,8223.8342076
2018-07-16 17:02:00,8223.8342076
2018-07-16 17:03:00,8224.7892076
2018-07-16 17:04:00,8224.7892076
2018-07-16 17:05:00,8235.2942076
2018-07-16 17:06:00,8235.2942076
2018-07-16 17:07:00,8235.2942076
2018-07-16 17:08:00,8234.3392076
2018-07-16 17:09:00,8234.3392076
2018-07-16 17:10:00,8234.3392076
2018-07-16 17:11:00,8234.3392076
2018-07-16 17:12:00,8234.3392076
2018-07-16 17:13:00,8234.3392076
2018-07-16 17:14:00,8234.3392076
2018-07-16 17:15:00,8222.8792076
2018-07-16 17:16:00,8221.9242076
2018-07-16 17:17:00,8221.9242076
2018-07-16 17:18:00,8221.9242076
2018-07-16 17:19:00,8221.9242076
2018-07-16 17:20:00,8221.9242076
2018-07-16 17:21:00,8221.9242076
2018-07-16 17:22:00,8221.9242076
2018-07-16 17:23:00,8221.9242076
2018-07-16 17:24:00,8221.9242076
2018-07-16 17:25:00,8221.9242076
2018-07-16 17:26:00,8221.9242076
2018-07-16 17:27:00,8221.9242076
2018-07-16 17:28:00,8221.9242076
2018-07-16 17:29:00,8221.9242076
2018-07-16 17:30:00,8221.9242076
2018-07-16 17:31:00,8221.9242076
2018-07-16 17:32:00,8221.9242076
2018-07-16 17:33:00,8221.9242076
2018-07-16 17:34:00,8221.9242076
2018-07-16 17:35:00,8221.9242076
2018-07-16 17:36:00,8221.9242076
2018-07-16 17:37:00,8221.9242076
2018-07-16 17:38:00,8221.9242076
2018-07-16 17:39:00,8221.9242076
2018-07-16 17:40:00,8221.9242076
2018-07-16 17:41:00,8222.8792076
2018-07-16 17:42:00,8222.8792076
2018-07-16 17:43:00,8223.8342076
2018-07-16 17:44:00,8221.9242076
2018-07-16 17:45:00,8214.2842076
