,TT
2018-07-20 03:53:00,11237.6276395
2018-07-20 03:54:00,11244.4220395
2018-07-20 03:55:00,11237.6276395
2018-07-20 03:56:00,11237.6276395
2018-07-20 03:57:00,11237.6276395
2018-07-20 03:58:00,11230.8332395
2018-07-20 03:59:00,11230.8332395
2018-07-20 04:00:00,11230.8332395
2018-07-20 04:01:00,11237.6276395
2018-07-20 04:02:00,11237.6276395
2018-07-20 04:03:00,11230.8332395
2018-07-20 04:04:00,11230.8332395
2018-07-20 04:05:00,11230.8332395
2018-07-20 04:06:00,11224.0388395
2018-07-20 04:07:00,11224.0388395
2018-07-20 04:08:00,11224.0388395
2018-07-20 04:09:00,11230.8332395
2018-07-20 04:10:00,11230.8332395
2018-07-20 04:11:00,11237.6276395
2018-07-20 04:12:00,11244.4220395
2018-07-20 04:13:00,11237.6276395
2018-07-20 04:14:00,11237.6276395
2018-07-20 04:15:00,11237.6276395
2018-07-20 04:16:00,11224.0388395
2018-07-20 04:17:00,11224.0388395
2018-07-20 04:18:00,11224.0388395
2018-07-20 04:19:00,11224.0388395
2018-07-20 04:20:00,11217.2444395
2018-07-20 04:21:00,11217.2444395
2018-07-20 04:22:00,11217.2444395
2018-07-20 04:23:00,11217.2444395
2018-07-20 04:24:00,11217.2444395
2018-07-20 04:25:00,11217.2444395
2018-07-20 04:26:00,11217.2444395
2018-07-20 04:27:00,11210.4500395
2018-07-20 04:28:00,11210.4500395
2018-07-20 04:29:00,11210.4500395
2018-07-20 04:30:00,11203.6556395
2018-07-20 04:31:00,11203.6556395
2018-07-20 04:32:00,11203.6556395
2018-07-20 04:33:00,11196.8612395
2018-07-20 04:34:00,11196.8612395
2018-07-20 04:35:00,11203.6556395
2018-07-20 04:36:00,11203.6556395
2018-07-20 04:37:00,11196.8612395
2018-07-20 04:38:00,11196.8612395
2018-07-20 04:39:00,11196.8612395
2018-07-20 04:40:00,11203.6556395
2018-07-20 04:41:00,11203.6556395
2018-07-20 04:42:00,11203.6556395
2018-07-20 04:43:00,11203.6556395
2018-07-20 04:44:00,11210.4500395
2018-07-20 04:45:00,11210.4500395
2018-07-20 04:46:00,11217.2444395
2018-07-20 04:47:00,11217.2444395
2018-07-20 04:48:00,11217.2444395
2018-07-20 04:49:00,11224.0388395
2018-07-20 04:50:00,11224.0388395
2018-07-20 04:51:00,11217.2444395
2018-07-20 04:52:00,11224.0388395
2018-07-20 04:53:00,11224.0388395
2018-07-20 04:54:00,11230.8332395
2018-07-20 04:55:00,11230.8332395
2018-07-20 04:56:00,11230.8332395
2018-07-20 04:57:00,11230.8332395
2018-07-20 04:58:00,11230.8332395
2018-07-20 04:59:00,11230.8332395
2018-07-20 05:00:00,11224.0388395
