,L_RED
2018-08-28 06:07:00,392.041392878
2018-08-28 06:08:00,392.041392878
2018-08-28 06:09:00,392.041392878
2018-08-28 06:10:00,392.041392878
2018-08-28 06:11:00,392.041392878
2018-08-28 06:12:00,392.041392878
2018-08-28 06:13:00,392.041392878
2018-08-28 06:14:00,392.041392878
2018-08-28 06:15:00,392.041392878
2018-08-28 06:16:00,392.041392878
2018-08-28 06:17:00,392.041392878
2018-08-28 06:18:00,392.041392878
2018-08-28 06:19:00,392.041392878
2018-08-28 06:20:00,392.041392878
2018-08-28 06:21:00,381.029588096
2018-08-28 06:22:00,381.029588096
2018-08-28 06:23:00,381.029588096
2018-08-28 06:24:00,381.029588096
2018-08-28 06:25:00,381.029588096
2018-08-28 06:26:00,392.041392878
2018-08-28 06:27:00,392.041392878
2018-08-28 06:28:00,392.041392878
2018-08-28 06:29:00,403.053197659
2018-08-28 06:30:00,403.053197659
2018-08-28 06:31:00,403.053197659
2018-08-28 06:32:00,403.053197659
2018-08-28 06:33:00,403.053197659
2018-08-28 06:34:00,403.053197659
2018-08-28 06:35:00,403.053197659
2018-08-28 06:36:00,403.053197659
2018-08-28 06:37:00,403.053197659
2018-08-28 06:38:00,403.053197659
2018-08-28 06:39:00,403.053197659
2018-08-28 06:40:00,403.053197659
2018-08-28 06:41:00,403.053197659
2018-08-28 06:42:00,403.053197659
2018-08-28 06:43:00,403.053197659
2018-08-28 06:44:00,403.053197659
2018-08-28 06:45:00,403.053197659
2018-08-28 06:46:00,403.053197659
2018-08-28 06:47:00,403.053197659
2018-08-28 06:48:00,403.053197659
2018-08-28 06:49:00,403.053197659
2018-08-28 06:50:00,403.053197659
2018-08-28 06:51:00,403.053197659
2018-08-28 06:52:00,392.041392878
2018-08-28 06:53:00,392.041392878
2018-08-28 06:54:00,392.041392878
2018-08-28 06:55:00,392.041392878
2018-08-28 06:56:00,392.041392878
2018-08-28 06:57:00,392.041392878
2018-08-28 06:58:00,392.041392878
2018-08-28 06:59:00,392.041392878
2018-08-28 07:00:00,392.041392878
2018-08-28 07:01:00,392.041392878
2018-08-28 07:02:00,392.041392878
2018-08-28 07:03:00,392.041392878
2018-08-28 07:04:00,392.041392878
2018-08-28 07:05:00,392.041392878
2018-08-28 07:06:00,392.041392878
2018-08-28 07:07:00,392.041392878
2018-08-28 07:08:00,392.041392878
2018-08-28 07:09:00,392.041392878
2018-08-28 07:10:00,392.041392878
2018-08-28 07:11:00,392.041392878
2018-08-28 07:12:00,392.041392878
2018-08-28 07:13:00,392.041392878
2018-08-28 07:14:00,392.041392878
2018-08-28 07:15:00,392.041392878
2018-08-28 07:16:00,392.041392878
2018-08-28 07:17:00,392.041392878
2018-08-28 07:18:00,392.041392878
2018-08-28 07:19:00,392.041392878
2018-08-28 07:20:00,392.041392878
2018-08-28 07:21:00,381.029588096
2018-08-28 07:22:00,381.029588096
2018-08-28 07:23:00,381.029588096
2018-08-28 07:24:00,381.029588096
2018-08-28 07:25:00,381.029588096
2018-08-28 07:26:00,381.029588096
2018-08-28 07:27:00,381.029588096
2018-08-28 07:28:00,381.029588096
2018-08-28 07:29:00,381.029588096
2018-08-28 07:30:00,381.029588096
2018-08-28 07:31:00,381.029588096
2018-08-28 07:32:00,381.029588096
2018-08-28 07:33:00,381.029588096
2018-08-28 07:34:00,370.017783315
2018-08-28 07:35:00,370.017783315
2018-08-28 07:36:00,370.017783315
2018-08-28 07:37:00,370.017783315
2018-08-28 07:38:00,370.017783315
2018-08-28 07:39:00,370.017783315
2018-08-28 07:40:00,370.017783315
2018-08-28 07:41:00,370.017783315
2018-08-28 07:42:00,370.017783315
2018-08-28 07:43:00,370.017783315
2018-08-28 07:44:00,370.017783315
2018-08-28 07:45:00,370.017783315
2018-08-28 07:46:00,370.017783315
2018-08-28 07:47:00,370.017783315
2018-08-28 07:48:00,359.005978534
2018-08-28 07:49:00,370.017783315
2018-08-28 07:50:00,359.005978534
2018-08-28 07:51:00,347.994173753
2018-08-28 07:52:00,359.005978534
2018-08-28 07:53:00,359.005978534
2018-08-28 07:54:00,359.005978534
2018-08-28 07:55:00,359.005978534
2018-08-28 07:56:00,359.005978534
2018-08-28 07:57:00,336.982368971
2018-08-28 07:58:00,336.982368971
2018-08-28 07:59:00,336.982368971
2018-08-28 08:00:00,336.982368971
2018-08-28 08:01:00,325.97056419
2018-08-28 08:02:00,325.97056419
2018-08-28 08:03:00,325.97056419
2018-08-28 08:04:00,325.97056419
2018-08-28 08:05:00,325.97056419
2018-08-28 08:06:00,325.97056419
2018-08-28 08:07:00,325.97056419
2018-08-28 08:08:00,325.97056419
2018-08-28 08:09:00,325.97056419
2018-08-28 08:10:00,325.97056419
2018-08-28 08:11:00,325.97056419
2018-08-28 08:12:00,325.97056419
2018-08-28 08:13:00,314.958759409
2018-08-28 08:14:00,314.958759409
2018-08-28 08:15:00,314.958759409
2018-08-28 08:16:00,314.958759409
2018-08-28 08:17:00,314.958759409
2018-08-28 08:18:00,336.982368971
2018-08-28 08:19:00,314.958759409
2018-08-28 08:20:00,314.958759409
2018-08-28 08:21:00,325.97056419
2018-08-28 08:22:00,325.97056419
2018-08-28 08:23:00,325.97056419
2018-08-28 08:24:00,325.97056419
2018-08-28 08:25:00,314.958759409
2018-08-28 08:26:00,314.958759409
2018-08-28 08:27:00,314.958759409
2018-08-28 08:28:00,314.958759409
2018-08-28 08:29:00,314.958759409
2018-08-28 08:30:00,314.958759409
2018-08-28 08:31:00,314.958759409
2018-08-28 08:32:00,314.958759409
2018-08-28 08:33:00,314.958759409
2018-08-28 08:34:00,314.958759409
2018-08-28 08:35:00,303.946954628
2018-08-28 08:36:00,303.946954628
2018-08-28 08:37:00,314.958759409
2018-08-28 08:38:00,314.958759409
2018-08-28 08:39:00,325.97056419
2018-08-28 08:40:00,325.97056419
2018-08-28 08:41:00,325.97056419
2018-08-28 08:42:00,314.958759409
2018-08-28 08:43:00,314.958759409
2018-08-28 08:44:00,325.97056419
2018-08-28 08:45:00,325.97056419
2018-08-28 08:46:00,325.97056419
2018-08-28 08:47:00,325.97056419
2018-08-28 08:48:00,325.97056419
2018-08-28 08:49:00,325.97056419
2018-08-28 08:50:00,325.97056419
2018-08-28 08:51:00,325.97056419
2018-08-28 08:52:00,336.982368971
2018-08-28 08:53:00,336.982368971
2018-08-28 08:54:00,336.982368971
2018-08-28 08:55:00,336.982368971
2018-08-28 08:56:00,336.982368971
2018-08-28 08:57:00,325.97056419
2018-08-28 08:58:00,325.97056419
2018-08-28 08:59:00,325.97056419
2018-08-28 09:00:00,314.958759409
2018-08-28 09:01:00,314.958759409
2018-08-28 09:02:00,314.958759409
2018-08-28 09:03:00,314.958759409
2018-08-28 09:04:00,314.958759409
2018-08-28 09:05:00,314.958759409
2018-08-28 09:06:00,314.958759409
2018-08-28 09:07:00,314.958759409
2018-08-28 09:08:00,314.958759409
2018-08-28 09:09:00,314.958759409
2018-08-28 09:10:00,314.958759409
2018-08-28 09:11:00,314.958759409
2018-08-28 09:12:00,314.958759409
2018-08-28 09:13:00,314.958759409
2018-08-28 09:14:00,325.97056419
2018-08-28 09:15:00,325.97056419
2018-08-28 09:16:00,314.958759409
2018-08-28 09:17:00,303.946954628
2018-08-28 09:18:00,303.946954628
2018-08-28 09:19:00,303.946954628
2018-08-28 09:20:00,303.946954628
2018-08-28 09:21:00,303.946954628
2018-08-28 09:22:00,303.946954628
2018-08-28 09:23:00,303.946954628
2018-08-28 09:24:00,314.958759409
2018-08-28 09:25:00,314.958759409
2018-08-28 09:26:00,303.946954628
2018-08-28 09:27:00,303.946954628
2018-08-28 09:28:00,303.946954628
2018-08-28 09:29:00,303.946954628
2018-08-28 09:30:00,314.958759409
2018-08-28 09:31:00,314.958759409
2018-08-28 09:32:00,314.958759409
2018-08-28 09:33:00,325.97056419
2018-08-28 09:34:00,325.97056419
2018-08-28 09:35:00,325.97056419
2018-08-28 09:36:00,325.97056419
2018-08-28 09:37:00,314.958759409
2018-08-28 09:38:00,325.97056419
2018-08-28 09:39:00,347.994173753
2018-08-28 09:40:00,336.982368971
2018-08-28 09:41:00,336.982368971
2018-08-28 09:42:00,336.982368971
2018-08-28 09:43:00,336.982368971
2018-08-28 09:44:00,336.982368971
2018-08-28 09:45:00,336.982368971
2018-08-28 09:46:00,336.982368971
2018-08-28 09:47:00,336.982368971
