,L_GREEN
2018-09-06 03:04:00,667.486284811
2018-09-06 03:05:00,667.486284811
2018-09-06 03:06:00,658.717849242
2018-09-06 03:07:00,667.486284811
2018-09-06 03:08:00,667.486284811
2018-09-06 03:09:00,658.717849242
2018-09-06 03:10:00,649.949413673
2018-09-06 03:11:00,667.486284811
2018-09-06 03:12:00,658.717849242
2018-09-06 03:13:00,658.717849242
2018-09-06 03:14:00,658.717849242
2018-09-06 03:15:00,667.486284811
2018-09-06 03:16:00,676.25472038
2018-09-06 03:17:00,676.25472038
2018-09-06 03:18:00,649.949413673
2018-09-06 03:19:00,658.717849242
2018-09-06 03:20:00,658.717849242
2018-09-06 03:21:00,649.949413673
2018-09-06 03:22:00,649.949413673
2018-09-06 03:23:00,649.949413673
2018-09-06 03:24:00,658.717849242
2018-09-06 03:25:00,658.717849242
2018-09-06 03:26:00,658.717849242
2018-09-06 03:27:00,658.717849242
2018-09-06 03:28:00,658.717849242
2018-09-06 03:29:00,658.717849242
2018-09-06 03:30:00,649.949413673
2018-09-06 03:31:00,641.180978105
2018-09-06 03:32:00,632.412542536
2018-09-06 03:33:00,632.412542536
2018-09-06 03:34:00,614.875671398
2018-09-06 03:35:00,614.875671398
2018-09-06 03:36:00,623.644106967
2018-09-06 03:37:00,623.644106967
2018-09-06 03:38:00,606.10723583
2018-09-06 03:39:00,597.338800261
2018-09-06 03:40:00,597.338800261
2018-09-06 03:41:00,606.10723583
2018-09-06 03:42:00,606.10723583
2018-09-06 03:43:00,597.338800261
2018-09-06 03:44:00,606.10723583
2018-09-06 03:45:00,606.10723583
2018-09-06 03:46:00,606.10723583
2018-09-06 03:47:00,614.875671398
2018-09-06 03:48:00,623.644106967
2018-09-06 03:49:00,623.644106967
2018-09-06 03:50:00,632.412542536
2018-09-06 03:51:00,623.644106967
2018-09-06 03:52:00,623.644106967
2018-09-06 03:53:00,641.180978105
2018-09-06 03:54:00,632.412542536
2018-09-06 03:55:00,632.412542536
2018-09-06 03:56:00,632.412542536
2018-09-06 03:57:00,649.949413673
2018-09-06 03:58:00,649.949413673
2018-09-06 03:59:00,632.412542536
2018-09-06 04:00:00,632.412542536
2018-09-06 04:01:00,641.180978105
2018-09-06 04:02:00,632.412542536
2018-09-06 04:03:00,632.412542536
2018-09-06 04:04:00,641.180978105
2018-09-06 04:05:00,649.949413673
2018-09-06 04:06:00,658.717849242
2018-09-06 04:07:00,658.717849242
2018-09-06 04:08:00,658.717849242
2018-09-06 04:09:00,667.486284811
2018-09-06 04:10:00,667.486284811
2018-09-06 04:11:00,676.25472038
2018-09-06 04:12:00,676.25472038
2018-09-06 04:13:00,658.717849242
2018-09-06 04:14:00,658.717849242
2018-09-06 04:15:00,658.717849242
2018-09-06 04:16:00,658.717849242
2018-09-06 04:17:00,658.717849242
2018-09-06 04:18:00,658.717849242
2018-09-06 04:19:00,641.180978105
2018-09-06 04:20:00,641.180978105
2018-09-06 04:21:00,649.949413673
2018-09-06 04:22:00,649.949413673
2018-09-06 04:23:00,649.949413673
2018-09-06 04:24:00,649.949413673
2018-09-06 04:25:00,658.717849242
2018-09-06 04:26:00,676.25472038
2018-09-06 04:27:00,658.717849242
2018-09-06 04:28:00,658.717849242
2018-09-06 04:29:00,658.717849242
2018-09-06 04:30:00,649.949413673
2018-09-06 04:31:00,658.717849242
2018-09-06 04:32:00,649.949413673
2018-09-06 04:33:00,649.949413673
2018-09-06 04:34:00,632.412542536
2018-09-06 04:35:00,632.412542536
2018-09-06 04:36:00,623.644106967
2018-09-06 04:37:00,614.875671398
2018-09-06 04:38:00,623.644106967
2018-09-06 04:39:00,623.644106967
2018-09-06 04:40:00,623.644106967
2018-09-06 04:41:00,623.644106967
2018-09-06 04:42:00,632.412542536
2018-09-06 04:43:00,623.644106967
2018-09-06 04:44:00,632.412542536
2018-09-06 04:45:00,632.412542536
2018-09-06 04:46:00,632.412542536
2018-09-06 04:47:00,632.412542536
2018-09-06 04:48:00,641.180978105
2018-09-06 04:49:00,623.644106967
2018-09-06 04:50:00,623.644106967
2018-09-06 04:51:00,606.10723583
2018-09-06 04:52:00,606.10723583
2018-09-06 04:53:00,606.10723583
2018-09-06 04:54:00,606.10723583
2018-09-06 04:55:00,606.10723583
2018-09-06 04:56:00,606.10723583
2018-09-06 04:57:00,606.10723583
2018-09-06 04:58:00,606.10723583
2018-09-06 04:59:00,606.10723583
2018-09-06 05:00:00,606.10723583
2018-09-06 05:01:00,597.338800261
2018-09-06 05:02:00,597.338800261
2018-09-06 05:03:00,588.570364692
2018-09-06 05:04:00,597.338800261
2018-09-06 05:05:00,606.10723583
2018-09-06 05:06:00,606.10723583
2018-09-06 05:07:00,606.10723583
2018-09-06 05:08:00,623.644106967
2018-09-06 05:09:00,597.338800261
2018-09-06 05:10:00,597.338800261
2018-09-06 05:11:00,597.338800261
2018-09-06 05:12:00,597.338800261
2018-09-06 05:13:00,597.338800261
2018-09-06 05:14:00,606.10723583
2018-09-06 05:15:00,606.10723583
2018-09-06 05:16:00,606.10723583
2018-09-06 05:17:00,606.10723583
2018-09-06 05:18:00,606.10723583
2018-09-06 05:19:00,606.10723583
2018-09-06 05:20:00,606.10723583
2018-09-06 05:21:00,606.10723583
2018-09-06 05:22:00,606.10723583
2018-09-06 05:23:00,623.644106967
2018-09-06 05:24:00,623.644106967
2018-09-06 05:25:00,623.644106967
2018-09-06 05:26:00,632.412542536
2018-09-06 05:27:00,632.412542536
