,GBX
2018-07-25 11:18:00,38541.7475646
2018-07-25 11:19:00,38546.4081446
2018-07-25 11:20:00,38541.7475646
2018-07-25 11:21:00,38541.7475646
2018-07-25 11:22:00,38541.7475646
2018-07-25 11:23:00,38546.4081446
2018-07-25 11:24:00,38544.0778546
2018-07-25 11:25:00,38539.4172746
2018-07-25 11:26:00,38539.4172746
2018-07-25 11:27:00,38537.0869846
2018-07-25 11:28:00,38541.7475646
2018-07-25 11:29:00,38541.7475646
2018-07-25 11:30:00,38541.7475646
2018-07-25 11:31:00,38551.0687246
2018-07-25 11:32:00,38551.0687246
2018-07-25 11:33:00,38555.7293046
2018-07-25 11:34:00,38555.7293046
2018-07-25 11:35:00,38553.3990146
2018-07-25 11:36:00,38553.3990146
2018-07-25 11:37:00,38551.0687246
2018-07-25 11:38:00,38551.0687246
2018-07-25 11:39:00,38551.0687246
2018-07-25 11:40:00,38551.0687246
2018-07-25 11:41:00,38551.0687246
2018-07-25 11:42:00,38546.4081446
2018-07-25 11:43:00,38546.4081446
2018-07-25 11:44:00,38551.0687246
2018-07-25 11:45:00,38551.0687246
2018-07-25 11:46:00,38555.7293046
2018-07-25 11:47:00,38555.7293046
2018-07-25 11:48:00,38555.7293046
2018-07-25 11:49:00,38555.7293046
2018-07-25 11:50:00,38553.3990146
2018-07-25 11:51:00,38553.3990146
2018-07-25 11:52:00,38555.7293046
2018-07-25 11:53:00,38555.7293046
2018-07-25 11:54:00,38555.7293046
2018-07-25 11:55:00,38558.0595946
2018-07-25 11:56:00,38555.7293046
2018-07-25 11:57:00,38558.0595946
2018-07-25 11:58:00,38560.3898846
2018-07-25 11:59:00,38565.0504646
2018-07-25 12:00:00,38555.7293046
2018-07-25 12:01:00,38555.7293046
2018-07-25 12:02:00,38572.0413346
2018-07-25 12:03:00,38569.7110446
2018-07-25 12:04:00,38579.0322046
2018-07-25 12:05:00,38579.0322046
2018-07-25 12:06:00,38579.0322046
2018-07-25 12:07:00,38579.0322046
2018-07-25 12:08:00,38586.0230746
2018-07-25 12:09:00,38583.6927846
2018-07-25 12:10:00,38581.3624946
2018-07-25 12:11:00,38583.6927846
2018-07-25 12:12:00,38583.6927846
2018-07-25 12:13:00,38583.6927846
2018-07-25 12:14:00,38583.6927846
2018-07-25 12:15:00,38583.6927846
2018-07-25 12:16:00,38583.6927846
2018-07-25 12:17:00,38583.6927846
2018-07-25 12:18:00,38579.0322046
2018-07-25 12:19:00,38590.6836546
2018-07-25 12:20:00,38588.3533646
2018-07-25 12:21:00,38583.6927846
2018-07-25 12:22:00,38588.3533646
2018-07-25 12:23:00,38588.3533646
2018-07-25 12:24:00,38588.3533646
2018-07-25 12:25:00,38586.0230746
2018-07-25 12:26:00,38579.0322046
2018-07-25 12:27:00,38583.6927846
2018-07-25 12:28:00,38583.6927846
2018-07-25 12:29:00,38586.0230746
2018-07-25 12:30:00,38586.0230746
2018-07-25 12:31:00,38586.0230746
2018-07-25 12:32:00,38583.6927846
2018-07-25 12:33:00,38583.6927846
2018-07-25 12:34:00,38588.3533646
2018-07-25 12:35:00,38586.0230746
2018-07-25 12:36:00,38588.3533646
2018-07-25 12:37:00,38586.0230746
2018-07-25 12:38:00,38583.6927846
2018-07-25 12:39:00,38581.3624946
2018-07-25 12:40:00,38576.7019146
2018-07-25 12:41:00,38576.7019146
2018-07-25 12:42:00,38579.0322046
2018-07-25 12:43:00,38579.0322046
2018-07-25 12:44:00,38581.3624946
2018-07-25 12:45:00,38576.7019146
2018-07-25 12:46:00,38574.3716246
2018-07-25 12:47:00,38569.7110446
2018-07-25 12:48:00,38565.0504646
2018-07-25 12:49:00,38560.3898846
2018-07-25 12:50:00,38560.3898846
2018-07-25 12:51:00,38560.3898846
2018-07-25 12:52:00,38560.3898846
2018-07-25 12:53:00,38558.0595946
2018-07-25 12:54:00,38555.7293046
2018-07-25 12:55:00,38553.3990146
2018-07-25 12:56:00,38551.0687246
2018-07-25 12:57:00,38551.0687246
2018-07-25 12:58:00,38548.7384346
2018-07-25 12:59:00,38548.7384346
2018-07-25 13:00:00,38546.4081446
2018-07-25 13:01:00,38546.4081446
2018-07-25 13:02:00,38546.4081446
2018-07-25 13:03:00,38546.4081446
2018-07-25 13:04:00,38546.4081446
2018-07-25 13:05:00,38548.7384346
2018-07-25 13:06:00,38546.4081446
2018-07-25 13:07:00,38537.0869846
2018-07-25 13:08:00,38532.4264046
2018-07-25 13:09:00,38530.0961146
2018-07-25 13:10:00,38527.7658246
2018-07-25 13:11:00,38527.7658246
2018-07-25 13:12:00,38527.7658246
2018-07-25 13:13:00,38527.7658246
2018-07-25 13:14:00,38523.1052446
2018-07-25 13:15:00,38518.4446646
2018-07-25 13:16:00,38518.4446646
2018-07-25 13:17:00,38513.7840846
2018-07-25 13:18:00,38518.4446646
2018-07-25 13:19:00,38523.1052446
2018-07-25 13:20:00,38523.1052446
2018-07-25 13:21:00,38523.1052446
2018-07-25 13:22:00,38523.1052446
2018-07-25 13:23:00,38523.1052446
2018-07-25 13:24:00,38523.1052446
2018-07-25 13:25:00,38523.1052446
2018-07-25 13:26:00,38520.7749546
2018-07-25 13:27:00,38520.7749546
2018-07-25 13:28:00,38518.4446646
2018-07-25 13:29:00,38518.4446646
2018-07-25 13:30:00,38516.1143746
2018-07-25 13:31:00,38516.1143746
2018-07-25 13:32:00,38523.1052446
2018-07-25 13:33:00,38523.1052446
2018-07-25 13:34:00,38523.1052446
2018-07-25 13:35:00,38518.4446646
2018-07-25 13:36:00,38520.7749546
2018-07-25 13:37:00,38520.7749546
2018-07-25 13:38:00,38523.1052446
2018-07-25 13:39:00,38520.7749546
2018-07-25 13:40:00,38530.0961146
2018-07-25 13:41:00,38527.7658246
2018-07-25 13:42:00,38525.4355346
2018-07-25 13:43:00,38525.4355346
2018-07-25 13:44:00,38523.1052446
2018-07-25 13:45:00,38523.1052446
2018-07-25 13:46:00,38530.0961146
2018-07-25 13:47:00,38530.0961146
2018-07-25 13:48:00,38530.0961146
2018-07-25 13:49:00,38525.4355346
2018-07-25 13:50:00,38530.0961146
2018-07-25 13:51:00,38530.0961146
2018-07-25 13:52:00,38530.0961146
2018-07-25 13:53:00,38534.7566946
2018-07-25 13:54:00,38534.7566946
2018-07-25 13:55:00,38534.7566946
2018-07-25 13:56:00,38546.4081446
2018-07-25 13:57:00,38548.7384346
2018-07-25 13:58:00,38548.7384346
2018-07-25 13:59:00,38546.4081446
2018-07-25 14:00:00,38544.0778546
2018-07-25 14:01:00,38532.4264046
2018-07-25 14:02:00,38532.4264046
2018-07-25 14:03:00,38548.7384346
2018-07-25 14:04:00,38546.4081446
2018-07-25 14:05:00,38541.7475646
2018-07-25 14:06:00,38541.7475646
2018-07-25 14:07:00,38541.7475646
2018-07-25 14:08:00,38539.4172746
