,ICECC2
2018-08-07 07:52:00,233876.695371
2018-08-07 07:53:00,233874.620371
2018-08-07 07:54:00,233874.620371
2018-08-07 07:55:00,233876.695371
2018-08-07 07:56:00,233887.070371
2018-08-07 07:57:00,233889.145371
2018-08-07 07:58:00,233884.995372
2018-08-07 07:59:00,233880.845372
2018-08-07 08:00:00,233874.620371
2018-08-07 08:01:00,233868.395371
2018-08-07 08:02:00,233855.945371
2018-08-07 08:03:00,233868.395371
2018-08-07 08:04:00,233874.620371
2018-08-07 08:05:00,233862.170372
2018-08-07 08:06:00,233874.620371
2018-08-07 08:07:00,233874.620371
2018-08-07 08:08:00,233868.395371
2018-08-07 08:09:00,233866.320371
2018-08-07 08:10:00,233864.245372
2018-08-07 08:11:00,233864.245372
2018-08-07 08:12:00,233866.320371
2018-08-07 08:13:00,233864.245372
2018-08-07 08:14:00,233864.245372
2018-08-07 08:15:00,233860.095372
2018-08-07 08:16:00,233868.395371
2018-08-07 08:17:00,233866.320371
2018-08-07 08:18:00,233882.920371
2018-08-07 08:19:00,233882.920371
2018-08-07 08:20:00,233901.595371
2018-08-07 08:21:00,233897.445371
2018-08-07 08:22:00,233899.520371
2018-08-07 08:23:00,233901.595371
2018-08-07 08:24:00,233897.445371
2018-08-07 08:25:00,233903.670371
2018-08-07 08:26:00,233903.670371
2018-08-07 08:27:00,233899.520371
2018-08-07 08:28:00,233893.295371
2018-08-07 08:29:00,233891.220372
2018-08-07 08:30:00,233878.770371
2018-08-07 08:31:00,233880.845372
2018-08-07 08:32:00,233866.320371
2018-08-07 08:33:00,233862.170372
2018-08-07 08:34:00,233862.170372
2018-08-07 08:35:00,233860.095372
2018-08-07 08:36:00,233855.945371
2018-08-07 08:37:00,233851.795371
2018-08-07 08:38:00,233841.420371
2018-08-07 08:39:00,233843.495371
2018-08-07 08:40:00,233845.570371
2018-08-07 08:41:00,233843.495371
2018-08-07 08:42:00,233839.345372
2018-08-07 08:43:00,233851.795371
2018-08-07 08:44:00,233853.870372
2018-08-07 08:45:00,233860.095372
2018-08-07 08:46:00,233862.170372
2018-08-07 08:47:00,233868.395371
2018-08-07 08:48:00,233880.845372
2018-08-07 08:49:00,233849.720371
2018-08-07 08:50:00,233849.720371
2018-08-07 08:51:00,233851.795371
2018-08-07 08:52:00,233847.645371
2018-08-07 08:53:00,233847.645371
2018-08-07 08:54:00,233866.320371
2018-08-07 08:55:00,233860.095372
2018-08-07 08:56:00,233866.320371
2018-08-07 08:57:00,233866.320371
2018-08-07 08:58:00,233868.395371
2018-08-07 08:59:00,233862.170372
2018-08-07 09:00:00,233860.095372
2018-08-07 09:01:00,233855.945371
2018-08-07 09:02:00,233839.345372
2018-08-07 09:03:00,233839.345372
2018-08-07 09:04:00,233843.495371
2018-08-07 09:05:00,233851.795371
2018-08-07 09:06:00,233855.945371
2018-08-07 09:07:00,233847.645371
2018-08-07 09:08:00,233851.795371
2018-08-07 09:09:00,233864.245372
2018-08-07 09:10:00,233895.370371
2018-08-07 09:11:00,233895.370371
2018-08-07 09:12:00,233918.195371
2018-08-07 09:13:00,233930.645371
2018-08-07 09:14:00,233895.370371
2018-08-07 09:15:00,233928.570371
2018-08-07 09:16:00,233934.795371
2018-08-07 09:17:00,233922.345371
2018-08-07 09:18:00,233914.045372
2018-08-07 09:19:00,233907.820371
2018-08-07 09:20:00,233907.820371
2018-08-07 09:21:00,233899.520371
2018-08-07 09:22:00,233891.220372
2018-08-07 09:23:00,233889.145371
2018-08-07 09:24:00,233901.595371
2018-08-07 09:25:00,233901.595371
2018-08-07 09:26:00,233901.595371
2018-08-07 09:27:00,233897.445371
2018-08-07 09:28:00,233891.220372
2018-08-07 09:29:00,233905.745371
2018-08-07 09:30:00,233914.045372
2018-08-07 09:31:00,233907.820371
2018-08-07 09:32:00,233905.745371
2018-08-07 09:33:00,233893.295371
2018-08-07 09:34:00,233893.295371
2018-08-07 09:35:00,233895.370371
2018-08-07 09:36:00,233893.295371
2018-08-07 09:37:00,233897.445371
2018-08-07 09:38:00,233903.670371
2018-08-07 09:39:00,233903.670371
2018-08-07 09:40:00,233909.895371
2018-08-07 09:41:00,233911.970372
2018-08-07 09:42:00,233909.895371
2018-08-07 09:43:00,233905.745371
2018-08-07 09:44:00,233903.670371
2018-08-07 09:45:00,233918.195371
2018-08-07 09:46:00,233905.745371
2018-08-07 09:47:00,233901.595371
2018-08-07 09:48:00,233905.745371
2018-08-07 09:49:00,233916.120371
2018-08-07 09:50:00,233918.195371
2018-08-07 09:51:00,233930.645371
2018-08-07 09:52:00,233914.045372
2018-08-07 09:53:00,233914.045372
2018-08-07 09:54:00,233922.345371
2018-08-07 09:55:00,233934.795371
2018-08-07 09:56:00,233932.720371
2018-08-07 09:57:00,233934.795371
2018-08-07 09:58:00,233943.095372
2018-08-07 09:59:00,233941.020371
2018-08-07 10:00:00,233943.095372
2018-08-07 10:01:00,233941.020371
2018-08-07 10:02:00,233938.945371
2018-08-07 10:03:00,233916.120371
2018-08-07 10:04:00,233911.970372
2018-08-07 10:05:00,233924.420371
2018-08-07 10:06:00,233924.420371
2018-08-07 10:07:00,233920.270371
2018-08-07 10:08:00,233938.945371
2018-08-07 10:09:00,233914.045372
2018-08-07 10:10:00,233916.120371
2018-08-07 10:11:00,233918.195371
2018-08-07 10:12:00,233918.195371
2018-08-07 10:13:00,233941.020371
2018-08-07 10:14:00,233943.095372
2018-08-07 10:15:00,233945.170371
2018-08-07 10:16:00,233941.020371
2018-08-07 10:17:00,233941.020371
2018-08-07 10:18:00,233941.020371
2018-08-07 10:19:00,233941.020371
2018-08-07 10:20:00,233934.795371
2018-08-07 10:21:00,233934.795371
2018-08-07 10:22:00,233926.495371
2018-08-07 10:23:00,233926.495371
2018-08-07 10:24:00,233918.195371
2018-08-07 10:25:00,233911.970372
2018-08-07 10:26:00,233907.820371
2018-08-07 10:27:00,233911.970372
2018-08-07 10:28:00,233916.120371
2018-08-07 10:29:00,233903.670371
2018-08-07 10:30:00,233934.795371
2018-08-07 10:31:00,233938.945371
2018-08-07 10:32:00,233934.795371
2018-08-07 10:33:00,233928.570371
