,OMX
2018-08-06 05:21:00,13177.5269418
2018-08-06 05:22:00,13180.1716343
2018-08-06 05:23:00,13174.8822493
2018-08-06 05:24:00,13172.2375568
2018-08-06 05:25:00,13174.8822493
2018-08-06 05:26:00,13174.8822493
2018-08-06 05:27:00,13185.4610193
2018-08-06 05:28:00,13193.3950968
2018-08-06 05:29:00,13201.3291743
2018-08-06 05:30:00,13206.6185593
2018-08-06 05:31:00,13201.3291743
2018-08-06 05:32:00,13198.6844818
2018-08-06 05:33:00,13190.7504043
2018-08-06 05:34:00,13190.7504043
2018-08-06 05:35:00,13190.7504043
2018-08-06 05:36:00,13188.1057118
2018-08-06 05:37:00,13190.7504043
2018-08-06 05:38:00,13196.0397893
2018-08-06 05:39:00,13201.3291743
2018-08-06 05:40:00,13201.3291743
2018-08-06 05:41:00,13201.3291743
2018-08-06 05:42:00,13201.3291743
2018-08-06 05:43:00,13227.7760993
2018-08-06 05:44:00,13222.4867143
2018-08-06 05:45:00,13227.7760993
2018-08-06 05:46:00,13227.7760993
2018-08-06 05:47:00,13233.0654843
2018-08-06 05:48:00,13233.0654843
2018-08-06 05:49:00,13233.0654843
2018-08-06 05:50:00,13227.7760993
2018-08-06 05:51:00,13233.0654843
2018-08-06 05:52:00,13227.7760993
2018-08-06 05:53:00,13230.4207918
2018-08-06 05:54:00,13243.6442543
2018-08-06 05:55:00,13238.3548693
2018-08-06 05:56:00,13243.6442543
2018-08-06 05:57:00,13248.9336393
2018-08-06 05:58:00,13248.9336393
2018-08-06 05:59:00,13227.7760993
2018-08-06 06:00:00,13222.4867143
2018-08-06 06:01:00,13227.7760993
2018-08-06 06:02:00,13222.4867143
2018-08-06 06:03:00,13222.4867143
2018-08-06 06:04:00,13222.4867143
2018-08-06 06:05:00,13206.6185593
2018-08-06 06:06:00,13217.1973293
2018-08-06 06:07:00,13211.9079443
2018-08-06 06:08:00,13206.6185593
2018-08-06 06:09:00,13201.3291743
2018-08-06 06:10:00,13196.0397893
2018-08-06 06:11:00,13201.3291743
2018-08-06 06:12:00,13196.0397893
2018-08-06 06:13:00,13193.3950968
2018-08-06 06:14:00,13193.3950968
2018-08-06 06:15:00,13174.8822493
2018-08-06 06:16:00,13180.1716343
2018-08-06 06:17:00,13174.8822493
2018-08-06 06:18:00,13169.5928643
2018-08-06 06:19:00,13164.3034793
2018-08-06 06:20:00,13169.5928643
2018-08-06 06:21:00,13169.5928643
2018-08-06 06:22:00,13159.0140943
2018-08-06 06:23:00,13159.0140943
2018-08-06 06:24:00,13159.0140943
2018-08-06 06:25:00,13164.3034793
2018-08-06 06:26:00,13159.0140943
2018-08-06 06:27:00,13153.7247093
2018-08-06 06:28:00,13148.4353243
2018-08-06 06:29:00,13143.1459393
2018-08-06 06:30:00,13148.4353243
2018-08-06 06:31:00,13148.4353243
2018-08-06 06:32:00,13148.4353243
2018-08-06 06:33:00,13153.7247093
2018-08-06 06:34:00,13153.7247093
2018-08-06 06:35:00,13137.8565543
2018-08-06 06:36:00,13143.1459393
2018-08-06 06:37:00,13137.8565543
2018-08-06 06:38:00,13137.8565543
2018-08-06 06:39:00,13143.1459393
2018-08-06 06:40:00,13143.1459393
2018-08-06 06:41:00,13153.7247093
2018-08-06 06:42:00,13143.1459393
2018-08-06 06:43:00,13143.1459393
2018-08-06 06:44:00,13148.4353243
2018-08-06 06:45:00,13148.4353243
2018-08-06 06:46:00,13148.4353243
