,MME
2018-08-16 04:56:00,8577.06111955
2018-08-16 04:57:00,8575.96861955
2018-08-16 04:58:00,8571.59861955
2018-08-16 04:59:00,8573.78361955
2018-08-16 05:00:00,8573.78361955
2018-08-16 05:01:00,8575.96861955
2018-08-16 05:02:00,8578.15361955
2018-08-16 05:03:00,8573.78361955
2018-08-16 05:04:00,8585.80111955
2018-08-16 05:05:00,8583.61611955
2018-08-16 05:06:00,8596.72611955
2018-08-16 05:07:00,8584.70861955
2018-08-16 05:08:00,8589.07861955
2018-08-16 05:09:00,8586.89361955
2018-08-16 05:10:00,8582.52361955
2018-08-16 05:11:00,8582.52361955
2018-08-16 05:12:00,8581.43111955
2018-08-16 05:13:00,8591.26361955
2018-08-16 05:14:00,8593.44861955
2018-08-16 05:15:00,8593.44861955
2018-08-16 05:16:00,8597.81861955
2018-08-16 05:17:00,8597.81861955
2018-08-16 05:18:00,8589.07861955
2018-08-16 05:19:00,8589.07861955
2018-08-16 05:20:00,8591.26361955
2018-08-16 05:21:00,8591.26361955
2018-08-16 05:22:00,8590.17111955
2018-08-16 05:23:00,8586.89361955
2018-08-16 05:24:00,8584.70861955
2018-08-16 05:25:00,8586.89361955
2018-08-16 05:26:00,8586.89361955
2018-08-16 05:27:00,8586.89361955
2018-08-16 05:28:00,8585.80111955
2018-08-16 05:29:00,8586.89361955
2018-08-16 05:30:00,8582.52361955
2018-08-16 05:31:00,8569.41361955
2018-08-16 05:32:00,8566.13611955
2018-08-16 05:33:00,8562.85861955
2018-08-16 05:34:00,8565.04361955
2018-08-16 05:35:00,8569.41361955
2018-08-16 05:36:00,8569.41361955
2018-08-16 05:37:00,8572.69111955
2018-08-16 05:38:00,8572.69111955
2018-08-16 05:39:00,8577.06111955
2018-08-16 05:40:00,8577.06111955
2018-08-16 05:41:00,8575.96861955
2018-08-16 05:42:00,8579.24611955
2018-08-16 05:43:00,8578.15361955
2018-08-16 05:44:00,8582.52361955
2018-08-16 05:45:00,8584.70861955
2018-08-16 05:46:00,8586.89361955
2018-08-16 05:47:00,8580.33861955
2018-08-16 05:48:00,8578.15361955
2018-08-16 05:49:00,8578.15361955
2018-08-16 05:50:00,8580.33861955
2018-08-16 05:51:00,8575.96861955
2018-08-16 05:52:00,8575.96861955
2018-08-16 05:53:00,8574.87611955
2018-08-16 05:54:00,8575.96861955
2018-08-16 05:55:00,8571.59861955
2018-08-16 05:56:00,8574.87611955
2018-08-16 05:57:00,8577.06111955
2018-08-16 05:58:00,8575.96861955
2018-08-16 05:59:00,8577.06111955
2018-08-16 06:00:00,8575.96861955
2018-08-16 06:01:00,8568.32111955
2018-08-16 06:02:00,8568.32111955
2018-08-16 06:03:00,8572.69111955
2018-08-16 06:04:00,8584.70861955
2018-08-16 06:05:00,8586.89361955
2018-08-16 06:06:00,8590.17111955
2018-08-16 06:07:00,8593.44861955
2018-08-16 06:08:00,8591.26361955
2018-08-16 06:09:00,8592.35611955
2018-08-16 06:10:00,8597.81861955
2018-08-16 06:11:00,8609.83611955
2018-08-16 06:12:00,8615.29861955
2018-08-16 06:13:00,8608.74361955
2018-08-16 06:14:00,8607.65111955
2018-08-16 06:15:00,8607.65111955
2018-08-16 06:16:00,8610.92861955
2018-08-16 06:17:00,8606.55861955
2018-08-16 06:18:00,8607.65111955
2018-08-16 06:19:00,8613.11361955
2018-08-16 06:20:00,8613.11361955
2018-08-16 06:21:00,8608.74361955
2018-08-16 06:22:00,8615.29861955
2018-08-16 06:23:00,8613.11361955
2018-08-16 06:24:00,8610.92861955
2018-08-16 06:25:00,8604.37361955
2018-08-16 06:26:00,8610.92861955
2018-08-16 06:27:00,8609.83611955
2018-08-16 06:28:00,8610.92861955
2018-08-16 06:29:00,8614.20611955
2018-08-16 06:30:00,8613.11361955
2018-08-16 06:31:00,8600.00361955
2018-08-16 06:32:00,8594.54111955
2018-08-16 06:33:00,8594.54111955
2018-08-16 06:34:00,8592.35611955
2018-08-16 06:35:00,8589.07861955
2018-08-16 06:36:00,8593.44861955
2018-08-16 06:37:00,8597.81861955
2018-08-16 06:38:00,8597.81861955
2018-08-16 06:39:00,8598.91111955
2018-08-16 06:40:00,8595.63361955
2018-08-16 06:41:00,8586.89361955
2018-08-16 06:42:00,8584.70861955
2018-08-16 06:43:00,8575.96861955
2018-08-16 06:44:00,8581.43111955
2018-08-16 06:45:00,8585.80111955
2018-08-16 06:46:00,8582.52361955
2018-08-16 06:47:00,8580.33861955
2018-08-16 06:48:00,8574.87611955
2018-08-16 06:49:00,8570.50611955
2018-08-16 06:50:00,8574.87611955
2018-08-16 06:51:00,8575.96861955
2018-08-16 06:52:00,8572.69111955
2018-08-16 06:53:00,8571.59861955
2018-08-16 06:54:00,8580.33861955
2018-08-16 06:55:00,8573.78361955
2018-08-16 06:56:00,8575.96861955
2018-08-16 06:57:00,8577.06111955
2018-08-16 06:58:00,8577.06111955
2018-08-16 06:59:00,8574.87611955
2018-08-16 07:00:00,8573.78361955
2018-08-16 07:01:00,8572.69111955
2018-08-16 07:02:00,8573.78361955
2018-08-16 07:03:00,8574.87611955
2018-08-16 07:04:00,8570.50611955
2018-08-16 07:05:00,8569.41361955
2018-08-16 07:06:00,8569.41361955
2018-08-16 07:07:00,8569.41361955
2018-08-16 07:08:00,8565.04361955
2018-08-16 07:09:00,8565.04361955
2018-08-16 07:10:00,8569.41361955
2018-08-16 07:11:00,8572.69111955
2018-08-16 07:12:00,8580.33861955
2018-08-16 07:13:00,8586.89361955
2018-08-16 07:14:00,8586.89361955
2018-08-16 07:15:00,8583.61611955
2018-08-16 07:16:00,8585.80111955
2018-08-16 07:17:00,8591.26361955
2018-08-16 07:18:00,8587.98611955
2018-08-16 07:19:00,8585.80111955
2018-08-16 07:20:00,8584.70861955
2018-08-16 07:21:00,8580.33861955
2018-08-16 07:22:00,8580.33861955
2018-08-16 07:23:00,8575.96861955
2018-08-16 07:24:00,8575.96861955
2018-08-16 07:25:00,8574.87611955
2018-08-16 07:26:00,8585.80111955
2018-08-16 07:27:00,8587.98611955
2018-08-16 07:28:00,8589.07861955
2018-08-16 07:29:00,8589.07861955
2018-08-16 07:30:00,8582.52361955
2018-08-16 07:31:00,8579.24611955
2018-08-16 07:32:00,8578.15361955
2018-08-16 07:33:00,8569.41361955
2018-08-16 07:34:00,8578.15361955
2018-08-16 07:35:00,8578.15361955
2018-08-16 07:36:00,8595.63361955
2018-08-16 07:37:00,8595.63361955
2018-08-16 07:38:00,8591.26361955
2018-08-16 07:39:00,8591.26361955
2018-08-16 07:40:00,8592.35611955
2018-08-16 07:41:00,8597.81861955
2018-08-16 07:42:00,8600.00361955
2018-08-16 07:43:00,8600.00361955
2018-08-16 07:44:00,8602.18861955
2018-08-16 07:45:00,8603.28111955
2018-08-16 07:46:00,8596.72611955
2018-08-16 07:47:00,8591.26361955
2018-08-16 07:48:00,8580.33861955
2018-08-16 07:49:00,8583.61611955
2018-08-16 07:50:00,8586.89361955
2018-08-16 07:51:00,8586.89361955
2018-08-16 07:52:00,8589.07861955
2018-08-16 07:53:00,8589.07861955
2018-08-16 07:54:00,8591.26361955
2018-08-16 07:55:00,8590.17111955
2018-08-16 07:56:00,8586.89361955
2018-08-16 07:57:00,8575.96861955
2018-08-16 07:58:00,8573.78361955
2018-08-16 07:59:00,8575.96861955
2018-08-16 08:00:00,8582.52361955
2018-08-16 08:01:00,8589.07861955
2018-08-16 08:02:00,8593.44861955
2018-08-16 08:03:00,8582.52361955
2018-08-16 08:04:00,8589.07861955
2018-08-16 08:05:00,8578.15361955
2018-08-16 08:06:00,8581.43111955
2018-08-16 08:07:00,8582.52361955
2018-08-16 08:08:00,8583.61611955
2018-08-16 08:09:00,8583.61611955
2018-08-16 08:10:00,8584.70861955
2018-08-16 08:11:00,8586.89361955
2018-08-16 08:12:00,8590.17111955
2018-08-16 08:13:00,8586.89361955
2018-08-16 08:14:00,8593.44861955
2018-08-16 08:15:00,8595.63361955
2018-08-16 08:16:00,8603.28111955
2018-08-16 08:17:00,8597.81861955
2018-08-16 08:18:00,8600.00361955
2018-08-16 08:19:00,8605.46611955
2018-08-16 08:20:00,8603.28111955
2018-08-16 08:21:00,8604.37361955
2018-08-16 08:22:00,8604.37361955
2018-08-16 08:23:00,8609.83611955
2018-08-16 08:24:00,8617.48361955
2018-08-16 08:25:00,8633.87111955
