,MX
2018-07-27 13:57:00,25970.2633831
2018-07-27 13:58:00,25973.0916371
2018-07-27 13:59:00,25968.8492561
2018-07-27 14:00:00,25987.2329071
2018-07-27 14:01:00,25984.4046531
2018-07-27 14:02:00,25988.6470341
2018-07-27 14:03:00,25988.6470341
2018-07-27 14:04:00,25991.4752881
2018-07-27 14:05:00,25994.3035421
2018-07-27 14:06:00,25992.8894151
2018-07-27 14:07:00,25990.0611611
2018-07-27 14:08:00,25994.3035421
2018-07-27 14:09:00,25992.8894151
2018-07-27 14:10:00,25994.3035421
2018-07-27 14:11:00,25992.8894151
2018-07-27 14:12:00,25999.9600501
2018-07-27 14:13:00,25999.9600501
2018-07-27 14:14:00,25995.7176691
2018-07-27 14:15:00,25998.5459231
2018-07-27 14:16:00,25995.7176691
2018-07-27 14:17:00,25992.8894151
2018-07-27 14:18:00,25994.3035421
2018-07-27 14:19:00,25992.8894151
2018-07-27 14:20:00,25987.2329071
2018-07-27 14:21:00,25988.6470341
2018-07-27 14:22:00,25985.8187801
2018-07-27 14:23:00,25992.8894151
2018-07-27 14:24:00,25994.3035421
2018-07-27 14:25:00,25985.8187801
2018-07-27 14:26:00,25982.9905261
2018-07-27 14:27:00,25980.1622721
2018-07-27 14:28:00,25980.1622721
2018-07-27 14:29:00,25974.5057641
2018-07-27 14:30:00,25973.0916371
2018-07-27 14:31:00,25975.9198911
2018-07-27 14:32:00,25981.5763991
2018-07-27 14:33:00,25990.0611611
2018-07-27 14:34:00,25992.8894151
2018-07-27 14:35:00,25985.8187801
2018-07-27 14:36:00,25981.5763991
2018-07-27 14:37:00,25977.3340181
2018-07-27 14:38:00,25982.9905261
2018-07-27 14:39:00,25982.9905261
2018-07-27 14:40:00,25980.1622721
2018-07-27 14:41:00,25988.6470341
2018-07-27 14:42:00,25988.6470341
2018-07-27 14:43:00,25990.0611611
2018-07-27 14:44:00,25985.8187801
2018-07-27 14:45:00,25977.3340181
2018-07-27 14:46:00,25982.9905261
2018-07-27 14:47:00,25982.9905261
2018-07-27 14:48:00,25982.9905261
2018-07-27 14:49:00,25982.9905261
2018-07-27 14:50:00,25982.9905261
2018-07-27 14:51:00,25978.7481451
2018-07-27 14:52:00,25981.5763991
2018-07-27 14:53:00,25973.0916371
2018-07-27 14:54:00,25970.2633831
2018-07-27 14:55:00,25975.9198911
2018-07-27 14:56:00,25991.4752881
2018-07-27 14:57:00,25992.8894151
2018-07-27 14:58:00,25987.2329071
2018-07-27 14:59:00,25973.0916371
2018-07-30 00:59:00,25999.9600501
2018-07-30 01:00:00,25958.9503671
2018-07-30 01:01:00,25956.1221131
2018-07-30 01:02:00,25958.9503671
2018-07-30 01:03:00,25958.9503671
2018-07-30 01:04:00,25958.9503671
2018-07-30 01:05:00,25958.9503671
2018-07-30 01:06:00,25960.3644941
2018-07-30 01:07:00,25961.7786211
2018-07-30 01:08:00,25963.1927481
2018-07-30 01:09:00,25963.1927481
2018-07-30 01:10:00,25960.3644941
2018-07-30 01:11:00,25957.5362401
2018-07-30 01:12:00,25956.1221131
2018-07-30 01:13:00,25956.1221131
2018-07-30 01:14:00,25947.6373511
2018-07-30 01:15:00,25953.2938591
2018-07-30 01:16:00,25951.8797321
2018-07-30 01:17:00,25951.8797321
2018-07-30 01:18:00,25958.9503671
2018-07-30 01:19:00,25960.3644941
2018-07-30 01:20:00,25960.3644941
2018-07-30 01:21:00,25961.7786211
2018-07-30 01:22:00,25961.7786211
2018-07-30 01:23:00,25951.8797321
2018-07-30 01:24:00,25951.8797321
2018-07-30 01:25:00,25950.4656051
2018-07-30 01:26:00,25946.2232241
2018-07-30 01:27:00,25947.6373511
2018-07-30 01:28:00,25946.2232241
2018-07-30 01:29:00,25949.0514781
2018-07-30 01:30:00,25944.8090971
2018-07-30 01:31:00,25947.6373511
2018-07-30 01:32:00,25956.1221131
2018-07-30 01:33:00,25961.7786211
