,ICESB
2018-08-21 04:00:00,-3557.7048192
2018-08-21 04:01:00,-3557.7048192
2018-08-21 04:02:00,-3557.7048192
2018-08-21 04:03:00,-3557.7048192
2018-08-21 04:04:00,-3557.7048192
2018-08-21 04:05:00,-3557.7048192
2018-08-21 04:06:00,-3557.7048192
2018-08-21 04:07:00,-3557.7048192
2018-08-21 04:08:00,-3544.9592192
2018-08-21 04:09:00,-3544.9592192
2018-08-21 04:10:00,-3544.9592192
2018-08-21 04:11:00,-3557.7048192
2018-08-21 04:12:00,-3557.7048192
2018-08-21 04:13:00,-3557.7048192
2018-08-21 04:14:00,-3557.7048192
2018-08-21 04:15:00,-3557.7048192
2018-08-21 04:16:00,-3570.4504192
2018-08-21 04:17:00,-3557.7048192
2018-08-21 04:18:00,-3557.7048192
2018-08-21 04:19:00,-3557.7048192
2018-08-21 04:20:00,-3557.7048192
2018-08-21 04:21:00,-3557.7048192
2018-08-21 04:22:00,-3570.4504192
2018-08-21 04:23:00,-3570.4504192
2018-08-21 04:24:00,-3570.4504192
2018-08-21 04:25:00,-3570.4504192
2018-08-21 04:26:00,-3570.4504192
2018-08-21 04:27:00,-3595.9416192
2018-08-21 04:28:00,-3608.6872192
2018-08-21 04:29:00,-3608.6872192
2018-08-21 04:30:00,-3608.6872192
2018-08-21 04:31:00,-3621.4328192
2018-08-21 04:32:00,-3608.6872192
2018-08-21 04:33:00,-3615.0600192
2018-08-21 04:34:00,-3615.0600192
2018-08-21 04:35:00,-3621.4328192
2018-08-21 04:36:00,-3621.4328192
2018-08-21 04:37:00,-3608.6872192
2018-08-21 04:38:00,-3608.6872192
2018-08-21 04:39:00,-3608.6872192
2018-08-21 04:40:00,-3608.6872192
2018-08-21 04:41:00,-3608.6872192
2018-08-21 04:42:00,-3608.6872192
2018-08-21 04:43:00,-3608.6872192
2018-08-21 04:44:00,-3608.6872192
2018-08-21 04:45:00,-3608.6872192
2018-08-21 04:46:00,-3608.6872192
2018-08-21 04:47:00,-3608.6872192
2018-08-21 04:48:00,-3608.6872192
2018-08-21 04:49:00,-3583.1960192
2018-08-21 04:50:00,-3583.1960192
2018-08-21 04:51:00,-3583.1960192
2018-08-21 04:52:00,-3583.1960192
2018-08-21 04:53:00,-3583.1960192
2018-08-21 04:54:00,-3583.1960192
2018-08-21 04:55:00,-3583.1960192
2018-08-21 04:56:00,-3583.1960192
2018-08-21 04:57:00,-3583.1960192
2018-08-21 04:58:00,-3583.1960192
2018-08-21 04:59:00,-3583.1960192
2018-08-21 05:00:00,-3583.1960192
2018-08-21 05:01:00,-3583.1960192
2018-08-21 05:02:00,-3583.1960192
2018-08-21 05:03:00,-3583.1960192
2018-08-21 05:04:00,-3583.1960192
2018-08-21 05:05:00,-3595.9416192
2018-08-21 05:06:00,-3583.1960192
