,OAT
2018-02-27 05:41:00,33578.6649738
2018-02-27 05:42:00,33586.9700018
2018-02-27 05:43:00,33595.2750298
2018-02-27 05:44:00,33603.5800578
2018-02-27 05:45:00,33603.5800578
2018-02-27 05:46:00,33603.5800578
2018-02-27 05:47:00,33603.5800578
2018-02-27 05:48:00,33603.5800578
2018-02-27 05:49:00,33611.8850858
2018-02-27 05:50:00,33603.5800578
2018-02-27 05:51:00,33611.8850858
2018-02-27 05:52:00,33611.8850858
2018-02-27 05:53:00,33611.8850858
2018-02-27 05:54:00,33611.8850858
2018-02-27 05:55:00,33628.4951418
2018-02-27 05:56:00,33628.4951418
2018-02-27 05:57:00,33628.4951418
2018-02-27 05:58:00,33628.4951418
2018-02-27 05:59:00,33628.4951418
2018-02-27 06:00:00,33628.4951418
2018-02-27 06:01:00,33628.4951418
2018-02-27 06:02:00,33628.4951418
2018-02-27 06:03:00,33632.6476558
2018-02-27 06:04:00,33628.4951418
2018-02-27 06:05:00,33628.4951418
2018-02-27 06:06:00,33628.4951418
2018-02-27 06:07:00,33632.6476558
2018-02-27 06:08:00,33620.1901138
2018-02-27 06:09:00,33628.4951418
2018-02-27 06:10:00,33628.4951418
2018-02-27 06:11:00,33628.4951418
2018-02-27 06:12:00,33645.1051978
2018-02-27 06:13:00,33636.8001698
2018-02-27 06:14:00,33636.8001698
2018-02-27 06:15:00,33628.4951418
2018-02-27 06:16:00,33632.6476558
2018-02-27 06:17:00,33620.1901138
2018-02-27 06:18:00,33620.1901138
2018-02-27 06:19:00,33620.1901138
2018-02-27 06:20:00,33620.1901138
2018-02-27 06:21:00,33620.1901138
2018-02-27 06:22:00,33611.8850858
2018-02-27 06:23:00,33620.1901138
2018-02-27 06:24:00,33620.1901138
2018-02-27 06:25:00,33628.4951418
2018-02-27 06:26:00,33628.4951418
2018-02-27 06:27:00,33628.4951418
2018-02-27 06:28:00,33628.4951418
2018-02-27 06:29:00,33620.1901138
2018-02-27 06:30:00,33628.4951418
2018-02-27 06:31:00,33620.1901138
2018-02-27 06:32:00,33620.1901138
2018-02-27 06:33:00,33616.0375998
2018-02-27 06:34:00,33636.8001698
2018-02-27 06:35:00,33628.4951418
2018-02-27 06:36:00,33636.8001698
2018-02-27 06:37:00,33628.4951418
2018-02-27 06:38:00,33620.1901138
2018-02-27 06:39:00,33603.5800578
2018-02-27 06:40:00,33603.5800578
2018-02-27 06:41:00,33595.2750298
2018-02-27 06:42:00,33611.8850858
2018-02-27 06:43:00,33603.5800578
2018-02-27 06:44:00,33603.5800578
2018-02-27 06:45:00,33603.5800578
2018-02-27 06:46:00,33603.5800578
2018-02-27 06:47:00,33611.8850858
2018-02-27 06:48:00,33611.8850858
2018-02-27 06:49:00,33611.8850858
2018-02-27 06:50:00,33611.8850858
2018-02-27 06:51:00,33611.8850858
2018-02-27 06:52:00,33611.8850858
2018-02-27 06:53:00,33628.4951418
2018-02-27 06:54:00,33620.1901138
2018-02-27 06:55:00,33628.4951418
2018-02-27 06:56:00,33628.4951418
2018-02-27 06:57:00,33620.1901138
2018-02-27 06:58:00,33620.1901138
2018-02-27 06:59:00,33620.1901138
2018-02-27 07:00:00,33620.1901138
2018-02-27 07:01:00,33636.8001698
2018-02-27 07:02:00,33640.9526838
2018-02-27 07:03:00,33645.1051978
2018-02-27 07:04:00,33645.1051978
2018-02-27 07:05:00,33661.7152538
2018-02-27 07:06:00,33670.0202818
2018-02-27 07:07:00,33670.0202818
2018-02-27 07:08:00,33670.0202818
2018-02-27 07:09:00,33670.0202818
2018-02-27 07:10:00,33670.0202818
2018-02-27 07:11:00,33670.0202818
2018-02-27 07:12:00,33678.3253098
2018-02-27 07:13:00,33674.1727958
2018-02-27 07:14:00,33678.3253098
2018-02-27 07:15:00,33686.6303378
2018-02-27 07:16:00,33686.6303378
2018-02-27 07:17:00,33670.0202818
2018-02-27 07:18:00,33678.3253098
2018-02-27 07:19:00,33678.3253098
2018-02-27 07:20:00,33678.3253098
2018-02-27 07:21:00,33670.0202818
2018-02-27 07:22:00,33661.7152538
2018-02-27 07:23:00,33661.7152538
2018-02-27 07:24:00,33661.7152538
2018-02-27 07:25:00,33653.4102258
2018-02-27 07:26:00,33649.2577118
2018-02-27 07:27:00,33653.4102258
2018-02-27 07:28:00,33661.7152538
2018-02-27 07:29:00,33645.1051978
2018-02-27 07:30:00,33636.8001698
2018-02-27 07:31:00,33616.0375998
2018-02-27 07:32:00,33586.9700018
2018-02-27 07:33:00,33611.8850858
2018-02-27 07:34:00,33611.8850858
2018-02-27 07:35:00,33620.1901138
2018-02-27 07:36:00,33628.4951418
2018-02-27 07:37:00,33661.7152538
2018-02-27 07:38:00,33653.4102258
2018-02-27 07:39:00,33628.4951418
2018-02-27 07:40:00,33636.8001698
2018-02-27 07:41:00,33628.4951418
2018-02-27 07:42:00,33628.4951418
2018-02-27 07:43:00,33636.8001698
2018-02-27 07:44:00,33645.1051978
2018-02-27 07:45:00,33657.5627398
2018-02-27 07:46:00,33670.0202818
2018-02-27 07:47:00,33682.4778238
2018-02-27 07:48:00,33686.6303378
2018-02-27 07:49:00,33670.0202818
2018-02-27 07:50:00,33686.6303378
2018-02-27 07:51:00,33694.9353658
2018-02-27 07:52:00,33694.9353658
2018-02-27 07:53:00,33699.0878798
2018-02-27 07:54:00,33703.2403938
2018-02-27 07:55:00,33711.5454218
2018-02-27 07:56:00,33728.1554778
2018-02-27 07:57:00,33728.1554778
2018-02-27 07:58:00,33736.4605058
2018-02-27 07:59:00,33736.4605058
2018-02-27 08:00:00,33728.1554778
2018-02-27 08:01:00,33736.4605058
2018-02-27 08:02:00,33744.7655338
2018-02-27 08:03:00,33744.7655338
2018-02-27 08:04:00,33777.9856458
2018-02-27 08:05:00,33777.9856458
2018-02-27 08:06:00,33761.3755898
2018-02-27 08:07:00,33777.9856458
2018-02-27 08:08:00,33777.9856458
2018-02-27 08:09:00,33794.5957018
2018-02-27 08:10:00,33786.2906738
2018-02-27 08:11:00,33777.9856458
2018-02-27 08:12:00,33777.9856458
2018-02-27 08:13:00,33777.9856458
2018-02-27 08:14:00,33761.3755898
2018-02-27 08:15:00,33786.2906738
2018-02-27 08:16:00,33786.2906738
2018-02-27 08:17:00,33786.2906738
2018-02-27 08:18:00,33786.2906738
2018-02-27 08:19:00,33769.6806178
2018-02-27 08:20:00,33769.6806178
2018-02-27 08:21:00,33761.3755898
2018-02-27 08:22:00,33753.0705618
2018-02-27 08:23:00,33736.4605058
2018-02-27 08:24:00,33744.7655338
2018-02-27 08:25:00,33744.7655338
2018-02-27 08:26:00,33736.4605058
2018-02-27 08:27:00,33740.6130198
2018-02-27 08:28:00,33744.7655338
2018-02-27 08:29:00,33736.4605058
2018-02-27 08:30:00,33761.3755898
2018-02-27 08:31:00,33769.6806178
2018-02-27 08:32:00,33769.6806178
2018-02-27 08:33:00,33753.0705618
2018-02-27 08:34:00,33744.7655338
2018-02-27 08:35:00,33736.4605058
2018-02-27 08:36:00,33728.1554778
2018-02-27 08:37:00,33736.4605058
2018-02-27 08:38:00,33732.3079918
2018-02-27 08:39:00,33736.4605058
2018-02-27 08:40:00,33736.4605058
2018-02-27 08:41:00,33732.3079918
2018-02-27 08:42:00,33728.1554778
2018-02-27 08:43:00,33719.8504498
2018-02-27 08:44:00,33728.1554778
2018-02-27 08:45:00,33736.4605058
2018-02-27 08:46:00,33719.8504498
2018-02-27 08:47:00,33719.8504498
2018-02-27 08:48:00,33719.8504498
2018-02-27 08:49:00,33711.5454218
2018-02-27 08:50:00,33711.5454218
2018-02-27 08:51:00,33711.5454218
2018-02-27 08:52:00,33711.5454218
2018-02-27 08:53:00,33715.6979358
2018-02-27 08:54:00,33711.5454218
2018-02-27 08:55:00,33711.5454218
2018-02-27 08:56:00,33686.6303378
2018-02-27 08:57:00,33678.3253098
2018-02-27 08:58:00,33678.3253098
2018-02-27 08:59:00,33653.4102258
2018-02-27 09:00:00,33661.7152538
2018-02-27 09:01:00,33670.0202818
2018-02-27 09:02:00,33670.0202818
2018-02-27 09:03:00,33694.9353658
2018-02-27 09:04:00,33694.9353658
2018-02-27 09:05:00,33703.2403938
2018-02-27 09:06:00,33711.5454218
2018-02-27 09:07:00,33707.3929078
2018-02-27 09:08:00,33719.8504498
2018-02-27 09:09:00,33719.8504498
2018-02-27 09:10:00,33744.7655338
2018-02-27 09:11:00,33719.8504498
2018-02-27 09:12:00,33732.3079918
2018-02-27 09:13:00,33728.1554778
2018-02-27 09:14:00,33719.8504498
