,SMI
2018-08-07 08:33:00,12736.3440875
2018-08-07 08:34:00,12734.393414
2018-08-07 08:35:00,12744.1467815
2018-08-07 08:36:00,12740.2454345
2018-08-07 08:37:00,12744.1467815
2018-08-07 08:38:00,12744.1467815
2018-08-07 08:39:00,12748.0481285
2018-08-07 08:40:00,12748.0481285
2018-08-07 08:41:00,12749.998802
2018-08-07 08:42:00,12751.9494755
2018-08-07 08:43:00,12755.8508225
2018-08-07 08:44:00,12755.8508225
2018-08-07 08:45:00,12755.8508225
2018-08-07 08:46:00,12753.900149
2018-08-07 08:47:00,12755.8508225
2018-08-07 08:48:00,12755.8508225
2018-08-07 08:49:00,12749.998802
2018-08-07 08:50:00,12753.900149
2018-08-07 08:51:00,12755.8508225
2018-08-07 08:52:00,12757.801496
2018-08-07 08:53:00,12759.7521695
2018-08-07 08:54:00,12757.801496
2018-08-07 08:55:00,12755.8508225
2018-08-07 08:56:00,12775.3575575
2018-08-07 08:57:00,12777.308231
2018-08-07 08:58:00,12763.6535165
2018-08-07 08:59:00,12767.5548635
2018-08-07 09:00:00,12767.5548635
2018-08-07 09:01:00,12759.7521695
2018-08-07 09:02:00,12759.7521695
2018-08-07 09:03:00,12755.8508225
2018-08-07 09:04:00,12751.9494755
2018-08-07 09:05:00,12749.998802
2018-08-07 09:06:00,12749.998802
2018-08-07 09:07:00,12749.998802
2018-08-07 09:08:00,12751.9494755
2018-08-07 09:09:00,12751.9494755
2018-08-07 09:10:00,12765.60419
2018-08-07 09:11:00,12771.4562105
2018-08-07 09:12:00,12771.4562105
2018-08-07 09:13:00,12775.3575575
2018-08-07 09:14:00,12775.3575575
2018-08-07 09:15:00,12771.4562105
2018-08-07 09:16:00,12775.3575575
2018-08-07 09:17:00,12773.406884
2018-08-07 09:18:00,12771.4562105
2018-08-07 09:19:00,12771.4562105
2018-08-07 09:20:00,12773.406884
2018-08-07 09:21:00,12775.3575575
2018-08-07 09:22:00,12773.406884
2018-08-07 09:23:00,12777.308231
2018-08-07 09:24:00,12775.3575575
2018-08-07 09:25:00,12771.4562105
2018-08-07 09:26:00,12773.406884
2018-08-07 09:27:00,12767.5548635
2018-08-07 09:28:00,12775.3575575
2018-08-07 09:29:00,12777.308231
2018-08-07 09:30:00,12779.2589045
2018-08-07 09:31:00,12779.2589045
2018-08-07 09:32:00,12779.2589045
2018-08-07 09:33:00,12779.2589045
2018-08-07 09:34:00,12781.209578
2018-08-07 09:35:00,12787.0615985
2018-08-07 09:36:00,12781.209578
2018-08-07 09:37:00,12789.012272
2018-08-07 09:38:00,12787.0615985
2018-08-07 09:39:00,12790.9629455
2018-08-07 09:40:00,12789.012272
2018-08-07 09:41:00,12790.9629455
2018-08-07 09:42:00,12775.3575575
2018-08-07 09:43:00,12783.1602515
2018-08-07 09:44:00,12787.0615985
2018-08-07 09:45:00,12779.2589045
2018-08-07 09:46:00,12771.4562105
2018-08-07 09:47:00,12775.3575575
2018-08-07 09:48:00,12775.3575575
2018-08-07 09:49:00,12763.6535165
2018-08-07 09:50:00,12767.5548635
2018-08-07 09:51:00,12767.5548635
2018-08-07 09:52:00,12771.4562105
2018-08-07 09:53:00,12769.505537
2018-08-07 09:54:00,12779.2589045
2018-08-07 09:55:00,12779.2589045
2018-08-07 09:56:00,12777.308231
2018-08-07 09:57:00,12771.4562105
2018-08-07 09:58:00,12779.2589045
2018-08-07 09:59:00,12775.3575575
2018-08-07 10:00:00,12767.5548635
2018-08-07 10:01:00,12779.2589045
2018-08-07 10:02:00,12779.2589045
2018-08-07 10:03:00,12783.1602515
2018-08-07 10:04:00,12779.2589045
2018-08-07 10:05:00,12779.2589045
2018-08-07 10:06:00,12783.1602515
2018-08-07 10:07:00,12779.2589045
2018-08-07 10:08:00,12775.3575575
2018-08-07 10:09:00,12787.0615985
2018-08-07 10:10:00,12779.2589045
2018-08-07 10:11:00,12783.1602515
2018-08-07 10:12:00,12785.110925
2018-08-07 10:13:00,12787.0615985
2018-08-07 10:14:00,12787.0615985
2018-08-07 10:15:00,12787.0615985
2018-08-07 10:16:00,12785.110925
2018-08-07 10:17:00,12785.110925
2018-08-07 10:18:00,12785.110925
2018-08-07 10:19:00,12787.0615985
2018-08-07 10:20:00,12767.5548635
2018-08-07 10:21:00,12763.6535165
2018-08-07 10:22:00,12755.8508225
2018-08-07 10:23:00,12744.1467815
2018-08-07 10:24:00,12732.4427405
2018-08-07 10:25:00,12746.097455
2018-08-07 10:26:00,12748.0481285
2018-08-07 10:27:00,12748.0481285
2018-08-07 10:28:00,12748.0481285
2018-08-07 10:29:00,12755.8508225
2018-08-07 10:30:00,12734.393414
2018-08-07 10:31:00,12736.3440875
2018-08-07 10:32:00,12736.3440875
2018-08-07 10:33:00,12730.492067
2018-08-07 10:34:00,12720.7386995
2018-08-07 10:35:00,12720.7386995
2018-08-07 10:36:00,12730.492067
2018-08-07 10:37:00,12726.59072
2018-08-07 10:38:00,12730.492067
2018-08-07 10:39:00,12720.7386995
2018-08-07 10:40:00,12720.7386995
2018-08-07 10:41:00,12728.5413935
2018-08-07 10:42:00,12736.3440875
2018-08-07 10:43:00,12724.6400465
2018-08-07 10:44:00,12724.6400465
2018-08-07 10:45:00,12726.59072
2018-08-07 10:46:00,12720.7386995
2018-08-07 10:47:00,12724.6400465
2018-08-07 10:48:00,12732.4427405
2018-08-07 10:49:00,12732.4427405
2018-08-07 10:50:00,12736.3440875
2018-08-07 10:51:00,12740.2454345
2018-08-07 10:52:00,12744.1467815
2018-08-07 10:53:00,12744.1467815
2018-08-07 10:54:00,12748.0481285
2018-08-07 10:55:00,12755.8508225
2018-08-07 10:56:00,12751.9494755
2018-08-07 10:57:00,12748.0481285
2018-08-07 10:58:00,12751.9494755
2018-08-07 10:59:00,12755.8508225
2018-08-07 11:00:00,12753.900149
2018-08-07 11:01:00,12759.7521695
2018-08-07 11:02:00,12763.6535165
2018-08-07 11:03:00,12765.60419
2018-08-07 11:04:00,12771.4562105
2018-08-07 11:05:00,12767.5548635
2018-08-07 11:06:00,12767.5548635
2018-08-07 11:07:00,12767.5548635
2018-08-07 11:08:00,12763.6535165
2018-08-07 11:09:00,12757.801496
2018-08-07 11:10:00,12759.7521695
2018-08-07 11:11:00,12759.7521695
2018-08-07 11:12:00,12757.801496
2018-08-07 11:13:00,12757.801496
2018-08-07 11:14:00,12759.7521695
2018-08-07 11:15:00,12759.7521695
2018-08-07 11:16:00,12757.801496
2018-08-07 11:17:00,12757.801496
2018-08-07 11:18:00,12749.998802
2018-08-07 11:19:00,12751.9494755
2018-08-07 11:20:00,12751.9494755
2018-08-07 11:21:00,12757.801496
2018-08-07 11:22:00,12757.801496
2018-08-07 11:23:00,12761.702843
2018-08-07 11:24:00,12765.60419
2018-08-07 11:25:00,12763.6535165
2018-08-07 11:26:00,12763.6535165
2018-08-07 11:27:00,12763.6535165
2018-08-07 11:28:00,12757.801496
2018-08-07 11:29:00,12757.801496
2018-08-07 11:30:00,12753.900149
2018-08-07 11:31:00,12749.998802
2018-08-07 11:32:00,12746.097455
2018-08-07 11:33:00,12746.097455
2018-08-07 11:34:00,12740.2454345
2018-08-07 11:35:00,12744.1467815
2018-08-07 11:36:00,12746.097455
2018-08-07 11:37:00,12738.294761
2018-08-07 11:38:00,12738.294761
2018-08-07 11:39:00,12738.294761
2018-08-07 11:40:00,12740.2454345
2018-08-07 11:41:00,12746.097455
2018-08-07 11:42:00,12746.097455
2018-08-07 11:43:00,12748.0481285
2018-08-07 11:44:00,12749.998802
2018-08-07 11:45:00,12746.097455
2018-08-07 11:46:00,12744.1467815
2018-08-07 11:47:00,12738.294761
2018-08-07 11:48:00,12740.2454345
2018-08-07 11:49:00,12740.2454345
2018-08-07 11:50:00,12740.2454345
2018-08-07 11:51:00,12738.294761
2018-08-07 11:52:00,12740.2454345
2018-08-07 11:53:00,12742.196108
2018-08-07 11:54:00,12740.2454345
2018-08-07 11:55:00,12742.196108
2018-08-07 11:56:00,12748.0481285
2018-08-07 11:57:00,12749.998802
2018-08-07 11:58:00,12751.9494755
2018-08-07 11:59:00,12748.0481285
2018-08-07 12:00:00,12740.2454345
2018-08-07 12:01:00,12740.2454345
2018-08-07 12:02:00,12738.294761
2018-08-07 12:03:00,12742.196108
2018-08-07 12:04:00,12748.0481285
2018-08-07 12:05:00,12744.1467815
2018-08-07 12:06:00,12748.0481285
2018-08-07 12:07:00,12748.0481285
2018-08-07 12:08:00,12748.0481285
2018-08-07 12:09:00,12751.9494755
2018-08-07 12:10:00,12753.900149
2018-08-07 12:11:00,12746.097455
2018-08-07 12:12:00,12746.097455
2018-08-07 12:13:00,12740.2454345
2018-08-07 12:14:00,12738.294761
2018-08-07 12:15:00,12742.196108
2018-08-07 12:16:00,12742.196108
2018-08-07 12:17:00,12744.1467815
2018-08-07 12:18:00,12748.0481285
2018-08-07 12:19:00,12748.0481285
2018-08-07 12:20:00,12746.097455
2018-08-07 12:21:00,12744.1467815
2018-08-07 12:22:00,12746.097455
2018-08-07 12:23:00,12746.097455
2018-08-07 12:24:00,12744.1467815
2018-08-07 12:25:00,12738.294761
2018-08-07 12:26:00,12728.5413935
2018-08-07 12:27:00,12728.5413935
2018-08-07 12:28:00,12728.5413935
2018-08-07 12:29:00,12728.5413935
2018-08-07 12:30:00,12730.492067
2018-08-07 12:31:00,12734.393414
2018-08-07 12:32:00,12732.4427405
2018-08-07 12:33:00,12732.4427405
2018-08-07 12:34:00,12734.393414
2018-08-07 12:35:00,12736.3440875
2018-08-07 12:36:00,12738.294761
2018-08-07 12:37:00,12740.2454345
2018-08-07 12:38:00,12732.4427405
2018-08-07 12:39:00,12732.4427405
2018-08-07 12:40:00,12732.4427405
2018-08-07 12:41:00,12732.4427405
2018-08-07 12:42:00,12732.4427405
2018-08-07 12:43:00,12732.4427405
2018-08-07 12:44:00,12732.4427405
2018-08-07 12:45:00,12738.294761
2018-08-07 12:46:00,12738.294761
2018-08-07 12:47:00,12738.294761
2018-08-07 12:48:00,12738.294761
2018-08-07 12:49:00,12738.294761
2018-08-07 12:50:00,12738.294761
2018-08-07 12:51:00,12738.294761
2018-08-07 12:52:00,12738.294761
2018-08-07 12:53:00,12738.294761
2018-08-07 12:54:00,12738.294761
2018-08-07 12:55:00,12730.492067
2018-08-07 12:56:00,12724.6400465
2018-08-07 12:57:00,12732.4427405
2018-08-07 12:58:00,12734.393414
2018-08-07 12:59:00,12734.393414
2018-08-07 13:00:00,12734.393414
2018-08-07 13:01:00,12734.393414
2018-08-07 13:02:00,12738.294761
2018-08-07 13:03:00,12742.196108
2018-08-07 13:04:00,12742.196108
2018-08-07 13:05:00,12742.196108
2018-08-07 13:06:00,12742.196108
2018-08-07 13:07:00,12742.196108
2018-08-07 13:08:00,12742.196108
2018-08-07 13:09:00,12742.196108
2018-08-07 13:10:00,12742.196108
2018-08-07 13:11:00,12742.196108
2018-08-07 13:12:00,12742.196108
2018-08-07 13:13:00,12742.196108
2018-08-07 13:14:00,12742.196108
2018-08-07 13:15:00,12742.196108
2018-08-07 13:16:00,12742.196108
2018-08-07 13:17:00,12744.1467815
2018-08-07 13:18:00,12746.097455
2018-08-07 13:19:00,12748.0481285
2018-08-07 13:20:00,12748.0481285
2018-08-07 13:21:00,12748.0481285
2018-08-07 13:22:00,12748.0481285
2018-08-07 13:23:00,12748.0481285
2018-08-07 13:24:00,12748.0481285
2018-08-07 13:25:00,12748.0481285
2018-08-07 13:26:00,12748.0481285
2018-08-07 13:27:00,12744.1467815
2018-08-07 13:28:00,12746.097455
2018-08-07 13:29:00,12751.9494755
2018-08-07 13:30:00,12757.801496
2018-08-07 13:31:00,12757.801496
2018-08-07 13:32:00,12769.505537
2018-08-07 13:33:00,12761.702843
2018-08-07 13:34:00,12761.702843
2018-08-07 13:35:00,12761.702843
2018-08-07 13:36:00,12755.8508225
2018-08-07 13:37:00,12753.900149
2018-08-07 13:38:00,12751.9494755
2018-08-07 13:39:00,12751.9494755
2018-08-07 13:40:00,12749.998802
2018-08-07 13:41:00,12749.998802
2018-08-07 13:42:00,12749.998802
2018-08-07 13:43:00,12749.998802
2018-08-07 13:44:00,12749.998802
2018-08-07 13:45:00,12749.998802
2018-08-07 13:46:00,12749.998802
2018-08-07 13:47:00,12749.998802
2018-08-07 13:48:00,12749.998802
2018-08-07 13:49:00,12749.998802
2018-08-07 13:50:00,12734.393414
2018-08-07 13:51:00,12738.294761
2018-08-07 13:52:00,12736.3440875
2018-08-07 13:53:00,12736.3440875
2018-08-07 13:54:00,12736.3440875
2018-08-07 13:55:00,12736.3440875
2018-08-07 13:56:00,12736.3440875
2018-08-07 13:57:00,12736.3440875
2018-08-07 13:58:00,12736.3440875
2018-08-07 13:59:00,12738.294761
2018-08-07 14:00:00,12736.3440875
2018-08-07 14:01:00,12736.3440875
2018-08-07 14:02:00,12736.3440875
2018-08-07 14:03:00,12736.3440875
2018-08-07 14:04:00,12736.3440875
2018-08-07 14:05:00,12736.3440875
2018-08-07 14:06:00,12736.3440875
2018-08-07 14:07:00,12736.3440875
2018-08-07 14:08:00,12736.3440875
2018-08-07 14:09:00,12736.3440875
2018-08-07 14:10:00,12736.3440875
2018-08-07 14:11:00,12736.3440875
2018-08-07 14:12:00,12736.3440875
2018-08-07 14:13:00,12736.3440875
2018-08-07 14:14:00,12736.3440875
2018-08-07 14:15:00,12736.3440875
2018-08-07 14:16:00,12736.3440875
2018-08-07 14:17:00,12736.3440875
2018-08-07 14:18:00,12736.3440875
2018-08-07 14:19:00,12736.3440875
2018-08-07 14:20:00,12736.3440875
2018-08-07 14:21:00,12736.3440875
2018-08-07 14:22:00,12736.3440875
2018-08-07 14:23:00,12736.3440875
2018-08-07 14:24:00,12736.3440875
2018-08-07 14:25:00,12738.294761
2018-08-07 14:26:00,12738.294761
2018-08-07 14:27:00,12738.294761
2018-08-07 14:28:00,12738.294761
2018-08-07 14:29:00,12744.1467815
2018-08-07 14:30:00,12744.1467815
2018-08-07 14:31:00,12744.1467815
2018-08-07 14:32:00,12732.4427405
2018-08-07 14:33:00,12732.4427405
2018-08-07 14:34:00,12732.4427405
2018-08-07 14:35:00,12732.4427405
2018-08-07 14:36:00,12714.886679
2018-08-07 14:37:00,12720.7386995
2018-08-07 14:38:00,12720.7386995
2018-08-07 14:39:00,12724.6400465
2018-08-07 14:40:00,12724.6400465
2018-08-07 14:41:00,12724.6400465
2018-08-07 14:42:00,12724.6400465
2018-08-07 14:43:00,12724.6400465
2018-08-07 14:44:00,12724.6400465
2018-08-07 14:45:00,12724.6400465
2018-08-07 14:46:00,12724.6400465
2018-08-07 14:47:00,12724.6400465
2018-08-07 14:48:00,12707.083985
2018-08-07 14:49:00,12703.182638
2018-08-07 14:50:00,12705.1333115
2018-08-07 14:51:00,12724.6400465
2018-08-07 14:52:00,12722.689373
2018-08-07 14:53:00,12722.689373
2018-08-07 14:54:00,12722.689373
2018-08-07 14:55:00,12730.492067
2018-08-07 14:56:00,12730.492067
2018-08-07 14:57:00,12749.998802
2018-08-07 14:58:00,12749.998802
2018-08-07 14:59:00,12755.8508225
2018-08-08 00:59:00,12761.702843
2018-08-08 01:00:00,12716.8373525
2018-08-08 01:01:00,12709.0346585
2018-08-08 01:02:00,12693.4292705
2018-08-08 01:03:00,12697.3306175
2018-08-08 01:04:00,12695.379944
2018-08-08 01:05:00,12691.478597
2018-08-08 01:06:00,12691.478597
2018-08-08 01:07:00,12695.379944
2018-08-08 01:08:00,12693.4292705
2018-08-08 01:09:00,12693.4292705
2018-08-08 01:10:00,12683.675903
2018-08-08 01:11:00,12689.5279235
2018-08-08 01:12:00,12687.57725
2018-08-08 01:13:00,12683.675903
2018-08-08 01:14:00,12691.478597
2018-08-08 01:15:00,12679.774556
2018-08-08 01:16:00,12673.9225355
2018-08-08 01:17:00,12677.8238825
2018-08-08 01:18:00,12679.774556
2018-08-08 01:19:00,12681.7252295
2018-08-08 01:20:00,12673.9225355
2018-08-08 01:21:00,12675.873209
2018-08-08 01:22:00,12685.6265765
2018-08-08 01:23:00,12687.57725
2018-08-08 01:24:00,12685.6265765
2018-08-08 01:25:00,12683.675903
2018-08-08 01:26:00,12679.774556
2018-08-08 01:27:00,12679.774556
2018-08-08 01:28:00,12681.7252295
2018-08-08 01:29:00,12681.7252295
2018-08-08 01:30:00,12675.873209
2018-08-08 01:31:00,12675.873209
2018-08-08 01:32:00,12673.9225355
2018-08-08 01:33:00,12668.070515
2018-08-08 01:34:00,12671.971862
2018-08-08 01:35:00,12670.0211885
2018-08-08 01:36:00,12670.0211885
2018-08-08 01:37:00,12671.971862
2018-08-08 01:38:00,12668.070515
2018-08-08 01:39:00,12668.070515
2018-08-08 01:40:00,12666.1198415
2018-08-08 01:41:00,12666.1198415
2018-08-08 01:42:00,12662.2184945
2018-08-08 01:43:00,12656.366474
2018-08-08 01:44:00,12660.267821
2018-08-08 01:45:00,12658.3171475
2018-08-08 01:46:00,12664.169168
2018-08-08 01:47:00,12654.4158005
2018-08-08 01:48:00,12652.465127
2018-08-08 01:49:00,12654.4158005
2018-08-08 01:50:00,12654.4158005
2018-08-08 01:51:00,12656.366474
2018-08-08 01:52:00,12654.4158005
2018-08-08 01:53:00,12652.465127
2018-08-08 01:54:00,12652.465127
2018-08-08 01:55:00,12656.366474
2018-08-08 01:56:00,12660.267821
2018-08-08 01:57:00,12671.971862
2018-08-08 01:58:00,12670.0211885
2018-08-08 01:59:00,12666.1198415
2018-08-08 02:00:00,12638.8104125
2018-08-08 02:01:00,12652.465127
2018-08-08 02:02:00,12646.6131065
2018-08-08 02:03:00,12615.4023305
2018-08-08 02:04:00,12617.353004
2018-08-08 02:05:00,12584.1915545
2018-08-08 02:06:00,12595.8955955
2018-08-08 02:07:00,12591.9942485
2018-08-08 02:08:00,12588.0929015
2018-08-08 02:09:00,12564.6848195
2018-08-08 02:10:00,12539.326064
2018-08-08 02:11:00,12537.3753905
2018-08-08 02:12:00,12517.8686555
2018-08-08 02:13:00,12525.6713495
2018-08-08 02:14:00,12537.3753905
2018-08-08 02:15:00,12545.1780845
2018-08-08 02:16:00,12547.128758
2018-08-08 02:17:00,12549.0794315
2018-08-08 02:18:00,12541.2767375
2018-08-08 02:19:00,12537.3753905
2018-08-08 02:20:00,12549.0794315
2018-08-08 02:21:00,12537.3753905
2018-08-08 02:22:00,12533.4740435
2018-08-08 02:23:00,12564.6848195
2018-08-08 02:24:00,12588.0929015
2018-08-08 02:25:00,12582.240881
2018-08-08 02:26:00,12572.4875135
2018-08-08 02:27:00,12572.4875135
2018-08-08 02:28:00,12580.2902075
2018-08-08 02:29:00,12572.4875135
2018-08-08 02:30:00,12588.0929015
2018-08-08 02:31:00,12591.9942485
2018-08-08 02:32:00,12584.1915545
2018-08-08 02:33:00,12578.339534
2018-08-08 02:34:00,12574.438187
2018-08-08 02:35:00,12580.2902075
2018-08-08 02:36:00,12584.1915545
2018-08-08 02:37:00,12584.1915545
2018-08-08 02:38:00,12584.1915545
