,XBT
2018-08-30 01:27:00,-519.26752962
2018-08-30 01:28:00,-519.26752962
2018-08-30 01:29:00,-519.26752962
2018-08-30 01:30:00,-519.26752962
2018-08-30 01:31:00,-517.17252962
2018-08-30 01:32:00,-515.07752962
2018-08-30 01:33:00,-519.26752962
2018-08-30 01:34:00,-519.26752962
2018-08-30 01:35:00,-519.26752962
2018-08-30 01:36:00,-523.45752962
2018-08-30 01:37:00,-523.45752962
2018-08-30 01:38:00,-529.74252962
2018-08-30 01:39:00,-529.74252962
2018-08-30 01:40:00,-529.74252962
2018-08-30 01:41:00,-529.74252962
2018-08-30 01:42:00,-531.83752962
2018-08-30 01:43:00,-529.74252962
2018-08-30 01:44:00,-523.45752962
2018-08-30 01:45:00,-523.45752962
2018-08-30 01:46:00,-519.26752962
2018-08-30 01:47:00,-519.26752962
2018-08-30 01:48:00,-519.26752962
2018-08-30 01:49:00,-519.26752962
2018-08-30 01:50:00,-519.26752962
2018-08-30 01:51:00,-523.45752962
2018-08-30 01:52:00,-523.45752962
2018-08-30 01:53:00,-523.45752962
2018-08-30 01:54:00,-523.45752962
2018-08-30 01:55:00,-531.83752962
2018-08-30 01:56:00,-531.83752962
2018-08-30 01:57:00,-531.83752962
2018-08-30 01:58:00,-527.64752962
2018-08-30 01:59:00,-527.64752962
2018-08-30 02:00:00,-523.45752962
2018-08-30 02:01:00,-523.45752962
2018-08-30 02:02:00,-523.45752962
2018-08-30 02:03:00,-523.45752962
2018-08-30 02:04:00,-519.26752962
2018-08-30 02:05:00,-510.88752962
2018-08-30 02:06:00,-510.88752962
2018-08-30 02:07:00,-515.07752962
2018-08-30 02:08:00,-515.07752962
2018-08-30 02:09:00,-510.88752962
2018-08-30 02:10:00,-512.98252962
2018-08-30 02:11:00,-510.88752962
2018-08-30 02:12:00,-515.07752962
2018-08-30 02:13:00,-515.07752962
2018-08-30 02:14:00,-515.07752962
2018-08-30 02:15:00,-510.88752962
2018-08-30 02:16:00,-510.88752962
2018-08-30 02:17:00,-515.07752962
2018-08-30 02:18:00,-515.07752962
2018-08-30 02:19:00,-519.26752962
2018-08-30 02:20:00,-519.26752962
2018-08-30 02:21:00,-519.26752962
2018-08-30 02:22:00,-515.07752962
2018-08-30 02:23:00,-515.07752962
2018-08-30 02:24:00,-515.07752962
2018-08-30 02:25:00,-515.07752962
2018-08-30 02:26:00,-515.07752962
2018-08-30 02:27:00,-510.88752962
2018-08-30 02:28:00,-506.69752962
2018-08-30 02:29:00,-510.88752962
2018-08-30 02:30:00,-510.88752962
