,ESX
2018-05-09 01:44:00,22094.8750443
2018-05-09 01:45:00,22085.3287823
2018-05-09 01:46:00,22085.3287823
2018-05-09 01:47:00,22085.3287823
2018-05-09 01:48:00,22085.3287823
2018-05-09 01:49:00,22085.3287823
2018-05-09 01:50:00,22094.8750443
2018-05-09 01:51:00,22094.8750443
2018-05-09 01:52:00,22094.8750443
2018-05-09 01:53:00,22094.8750443
2018-05-09 01:54:00,22094.8750443
2018-05-09 01:55:00,22094.8750443
2018-05-09 01:56:00,22094.8750443
2018-05-09 01:57:00,22104.4213063
2018-05-09 01:58:00,22104.4213063
2018-05-09 01:59:00,22113.9675683
2018-05-09 02:00:00,22133.0600923
2018-05-09 02:01:00,22123.5138303
2018-05-09 02:02:00,22123.5138303
2018-05-09 02:03:00,22133.0600923
2018-05-09 02:04:00,22123.5138303
2018-05-09 02:05:00,22123.5138303
2018-05-09 02:06:00,22123.5138303
2018-05-09 02:07:00,22142.6063543
2018-05-09 02:08:00,22133.0600923
2018-05-09 02:09:00,22133.0600923
2018-05-09 02:10:00,22123.5138303
2018-05-09 02:11:00,22113.9675683
2018-05-09 02:12:00,22104.4213063
2018-05-09 02:13:00,22104.4213063
2018-05-09 02:14:00,22113.9675683
2018-05-09 02:15:00,22113.9675683
2018-05-09 02:16:00,22113.9675683
2018-05-09 02:17:00,22113.9675683
2018-05-09 02:18:00,22113.9675683
2018-05-09 02:19:00,22123.5138303
2018-05-09 02:20:00,22123.5138303
2018-05-09 02:21:00,22113.9675683
2018-05-09 02:22:00,22113.9675683
2018-05-09 02:23:00,22123.5138303
2018-05-09 02:24:00,22123.5138303
2018-05-09 02:25:00,22123.5138303
2018-05-09 02:26:00,22113.9675683
2018-05-09 02:27:00,22113.9675683
2018-05-09 02:28:00,22113.9675683
2018-05-09 02:29:00,22113.9675683
2018-05-09 02:30:00,22123.5138303
2018-05-09 02:31:00,22123.5138303
2018-05-09 02:32:00,22113.9675683
2018-05-09 02:33:00,22113.9675683
2018-05-09 02:34:00,22104.4213063
2018-05-09 02:35:00,22104.4213063
2018-05-09 02:36:00,22113.9675683
2018-05-09 02:37:00,22104.4213063
2018-05-09 02:38:00,22104.4213063
2018-05-09 02:39:00,22104.4213063
2018-05-09 02:40:00,22104.4213063
2018-05-09 02:41:00,22104.4213063
2018-05-09 02:42:00,22104.4213063
2018-05-09 02:43:00,22123.5138303
2018-05-09 02:44:00,22123.5138303
2018-05-09 02:45:00,22123.5138303
2018-05-09 02:46:00,22123.5138303
2018-05-09 02:47:00,22133.0600923
2018-05-09 02:48:00,22133.0600923
2018-05-09 02:49:00,22133.0600923
2018-05-09 02:50:00,22133.0600923
2018-05-09 02:51:00,22142.6063543
2018-05-09 02:52:00,22133.0600923
2018-05-09 02:53:00,22142.6063543
2018-05-09 02:54:00,22142.6063543
2018-05-09 02:55:00,22142.6063543
2018-05-09 02:56:00,22142.6063543
2018-05-09 02:57:00,22133.0600923
2018-05-09 02:58:00,22133.0600923
2018-05-09 02:59:00,22142.6063543
2018-05-09 03:00:00,22142.6063543
2018-05-09 03:01:00,22133.0600923
2018-05-09 03:02:00,22123.5138303
2018-05-09 03:03:00,22133.0600923
2018-05-09 03:04:00,22123.5138303
2018-05-09 03:05:00,22113.9675683
2018-05-09 03:06:00,22123.5138303
2018-05-09 03:07:00,22123.5138303
2018-05-09 03:08:00,22133.0600923
2018-05-09 03:09:00,22133.0600923
2018-05-09 03:10:00,22133.0600923
2018-05-09 03:11:00,22133.0600923
2018-05-09 03:12:00,22133.0600923
2018-05-09 03:13:00,22133.0600923
2018-05-09 03:14:00,22133.0600923
2018-05-09 03:15:00,22133.0600923
2018-05-09 03:16:00,22123.5138303
2018-05-09 03:17:00,22123.5138303
2018-05-09 03:18:00,22123.5138303
2018-05-09 03:19:00,22123.5138303
2018-05-09 03:20:00,22123.5138303
2018-05-09 03:21:00,22133.0600923
2018-05-09 03:22:00,22133.0600923
2018-05-09 03:23:00,22133.0600923
2018-05-09 03:24:00,22142.6063543
2018-05-09 03:25:00,22142.6063543
2018-05-09 03:26:00,22142.6063543
2018-05-09 03:27:00,22133.0600923
2018-05-09 03:28:00,22152.1526163
2018-05-09 03:29:00,22152.1526163
2018-05-09 03:30:00,22152.1526163
2018-05-09 03:31:00,22152.1526163
2018-05-09 03:32:00,22152.1526163
2018-05-09 03:33:00,22161.6988783
2018-05-09 03:34:00,22161.6988783
2018-05-09 03:35:00,22161.6988783
2018-05-09 03:36:00,22161.6988783
2018-05-09 03:37:00,22152.1526163
2018-05-09 03:38:00,22152.1526163
2018-05-09 03:39:00,22152.1526163
2018-05-09 03:40:00,22152.1526163
2018-05-09 03:41:00,22152.1526163
2018-05-09 03:42:00,22152.1526163
2018-05-09 03:43:00,22171.2451403
2018-05-09 03:44:00,22161.6988783
2018-05-09 03:45:00,22171.2451403
2018-05-09 03:46:00,22171.2451403
2018-05-09 03:47:00,22180.7914023
