,BTS
2018-09-11 07:27:00,22791.9539478
2018-09-11 07:28:00,22791.9539478
2018-09-11 07:29:00,22785.7265478
2018-09-11 07:30:00,22785.7265478
2018-09-11 07:31:00,22785.7265478
2018-09-11 07:32:00,22798.1813478
2018-09-11 07:33:00,22798.1813478
2018-09-11 07:34:00,22798.1813478
2018-09-11 07:35:00,22791.9539478
2018-09-11 07:36:00,22785.7265478
2018-09-11 07:37:00,22788.8402478
2018-09-11 07:38:00,22788.8402478
2018-09-11 07:39:00,22782.6128478
2018-09-11 07:40:00,22785.7265478
2018-09-11 07:41:00,22785.7265478
2018-09-11 07:42:00,22785.7265478
2018-09-11 07:43:00,22791.9539478
2018-09-11 07:44:00,22785.7265478
2018-09-11 07:45:00,22779.4991478
2018-09-11 07:46:00,22785.7265478
2018-09-11 07:47:00,22785.7265478
2018-09-11 07:48:00,22785.7265478
2018-09-11 07:49:00,22779.4991478
2018-09-11 07:50:00,22779.4991478
2018-09-11 07:51:00,22779.4991478
2018-09-11 07:52:00,22773.2717478
2018-09-11 07:53:00,22773.2717478
2018-09-11 07:54:00,22773.2717478
2018-09-11 07:55:00,22773.2717478
2018-09-11 07:56:00,22773.2717478
2018-09-11 07:57:00,22773.2717478
2018-09-11 07:58:00,22773.2717478
2018-09-11 07:59:00,22773.2717478
2018-09-11 08:00:00,22773.2717478
2018-09-11 08:01:00,22767.0443478
2018-09-11 08:02:00,22767.0443478
2018-09-11 08:03:00,22760.8169478
2018-09-11 08:04:00,22760.8169478
2018-09-11 08:05:00,22760.8169478
2018-09-11 08:06:00,22767.0443478
2018-09-11 08:07:00,22767.0443478
2018-09-11 08:08:00,22785.7265478
2018-09-11 08:09:00,22776.3854478
2018-09-11 08:10:00,22773.2717478
2018-09-11 08:11:00,22770.1580478
2018-09-11 08:12:00,22767.0443478
2018-09-11 08:13:00,22767.0443478
2018-09-11 08:14:00,22767.0443478
2018-09-11 08:15:00,22773.2717478
2018-09-11 08:16:00,22754.5895478
2018-09-11 08:17:00,22754.5895478
2018-09-11 08:18:00,22760.8169478
2018-09-11 08:19:00,22760.8169478
2018-09-11 08:20:00,22760.8169478
2018-09-11 08:21:00,22760.8169478
2018-09-11 08:22:00,22760.8169478
2018-09-11 08:23:00,22748.3621478
2018-09-11 08:24:00,22735.9073478
2018-09-11 08:25:00,22735.9073478
2018-09-11 08:26:00,22739.0210478
2018-09-11 08:27:00,22739.0210478
2018-09-11 08:28:00,22742.1347478
2018-09-11 08:29:00,22742.1347478
2018-09-11 08:30:00,22745.2484478
2018-09-11 08:31:00,22732.7936478
2018-09-11 08:32:00,22735.9073478
2018-09-11 08:33:00,22729.6799478
2018-09-11 08:34:00,22742.1347478
2018-09-11 08:35:00,22742.1347478
2018-09-11 08:36:00,22748.3621478
2018-09-11 08:37:00,22754.5895478
2018-09-11 08:38:00,22754.5895478
2018-09-11 08:39:00,22754.5895478
2018-09-11 08:40:00,22748.3621478
2018-09-11 08:41:00,22748.3621478
2018-09-11 08:42:00,22754.5895478
2018-09-11 08:43:00,22754.5895478
2018-09-11 08:44:00,22754.5895478
2018-09-11 08:45:00,22748.3621478
2018-09-11 08:46:00,22748.3621478
2018-09-11 08:47:00,22748.3621478
2018-09-11 08:48:00,22742.1347478
2018-09-11 08:49:00,22735.9073478
2018-09-11 08:50:00,22735.9073478
2018-09-11 08:51:00,22745.2484478
2018-09-11 08:52:00,22748.3621478
2018-09-11 08:53:00,22745.2484478
2018-09-11 08:54:00,22735.9073478
2018-09-11 08:55:00,22735.9073478
2018-09-11 08:56:00,22729.6799478
2018-09-11 08:57:00,22717.2251478
2018-09-11 08:58:00,22717.2251478
2018-09-11 08:59:00,22720.3388478
2018-09-11 09:00:00,22717.2251478
2018-09-11 09:01:00,22714.1114478
2018-09-11 09:02:00,22710.9977478
2018-09-11 09:03:00,22710.9977478
2018-09-11 09:04:00,22717.2251478
2018-09-11 09:05:00,22710.9977478
2018-09-11 09:06:00,22710.9977478
2018-09-11 09:07:00,22717.2251478
2018-09-11 09:08:00,22717.2251478
2018-09-11 09:09:00,22714.1114478
