,RB11
2018-07-23 01:46:00,-2205683.54748
2018-07-23 01:47:00,-2205685.85328
2018-07-23 01:48:00,-2205691.23348
2018-07-23 01:49:00,-2205691.61778
2018-07-23 01:50:00,-2205686.23758
2018-07-23 01:51:00,-2205685.46898
2018-07-23 01:52:00,-2205689.69628
2018-07-23 01:53:00,-2205688.54338
2018-07-23 01:54:00,-2205687.77478
2018-07-23 01:55:00,-2205649.34478
2018-07-23 01:56:00,-2205693.92358
2018-07-23 01:57:00,-2205688.15908
2018-07-23 01:58:00,-2205683.54748
2018-07-23 01:59:00,-2205684.70038
2018-07-23 02:00:00,-2205687.77478
2018-07-23 02:01:00,-2205681.62598
2018-07-23 02:02:00,-2205688.54338
2018-07-23 02:03:00,-2205682.77888
2018-07-23 02:04:00,-2205666.25398
2018-07-23 02:05:00,-2205624.74958
2018-07-23 02:06:00,-2205622.82808
2018-07-23 02:07:00,-2205622.82808
2018-07-23 02:08:00,-2205627.82398
2018-07-23 02:09:00,-2205627.05538
2018-07-23 02:10:00,-2205627.82398
2018-07-23 02:11:00,-2205624.36528
2018-07-23 02:12:00,-2205669.71268
2018-07-23 02:13:00,-2205618.21648
2018-07-23 02:14:00,-2205607.07178
2018-07-23 02:15:00,-2205618.21648
2018-07-23 02:16:00,-2205662.02668
2018-07-23 02:17:00,-2205669.32838
2018-07-23 02:18:00,-2205617.06358
2018-07-23 02:19:00,-2205615.14208
2018-07-23 02:20:00,-2205616.67928
2018-07-23 02:21:00,-2205662.02668
2018-07-23 02:22:00,-2205656.26218
2018-07-23 02:23:00,-2205640.12158
2018-07-23 02:24:00,-2205666.25398
2018-07-23 02:25:00,-2205668.94408
2018-07-23 02:26:00,-2205616.29498
2018-07-23 02:27:00,-2205618.98508
2018-07-23 02:28:00,-2205616.29498
2018-07-23 02:29:00,-2205615.52638
2018-07-23 02:30:00,-2205618.98508
2018-07-23 02:31:00,-2205615.91068
2018-07-23 02:32:00,-2205618.60078
2018-07-23 02:33:00,-2205618.60078
2018-07-23 02:34:00,-2205618.60078
2018-07-23 02:35:00,-2205615.91068
2018-07-23 02:36:00,-2205608.60898
2018-07-23 02:37:00,-2205608.60898
2018-07-23 02:38:00,-2205596.69568
2018-07-23 02:39:00,-2205598.23288
2018-07-23 02:40:00,-2205600.15438
2018-07-23 02:41:00,-2205599.38578
2018-07-23 02:42:00,-2205600.15438
2018-07-23 02:43:00,-2205599.77008
2018-07-23 02:44:00,-2205598.23288
2018-07-23 02:45:00,-2205596.69568
2018-07-23 02:46:00,-2205596.69568
2018-07-23 02:47:00,-2205586.31958
2018-07-23 02:48:00,-2205583.62948
2018-07-23 02:49:00,-2205590.54688
2018-07-23 02:50:00,-2205587.85678
2018-07-23 02:51:00,-2205543.66228
2018-07-23 02:52:00,-2205581.70798
2018-07-23 02:53:00,-2205580.55508
2018-07-23 02:54:00,-2205535.20768
2018-07-23 02:55:00,-2205570.94758
2018-07-23 02:56:00,-2205574.40628
2018-07-23 02:57:00,-2205578.24928
2018-07-23 02:58:00,-2205575.55918
2018-07-23 02:59:00,-2205579.40218
