,CGB
2018-07-13 13:34:00,15956.404968
2018-07-13 13:35:00,15956.404968
2018-07-13 13:36:00,15956.404968
2018-07-13 13:37:00,15956.404968
2018-07-13 13:38:00,15951.070968
2018-07-13 13:39:00,15951.070968
2018-07-13 13:40:00,15956.404968
2018-07-13 13:41:00,15956.404968
2018-07-13 13:42:00,15956.404968
2018-07-13 13:43:00,15956.404968
2018-07-13 13:44:00,15956.404968
2018-07-13 13:45:00,15956.404968
2018-07-13 13:46:00,15961.738968
2018-07-13 13:47:00,15959.071968
2018-07-13 13:48:00,15956.404968
2018-07-13 13:49:00,15956.404968
2018-07-13 13:50:00,15951.070968
2018-07-13 13:51:00,15951.070968
2018-07-13 13:52:00,15951.070968
2018-07-13 13:53:00,15945.736968
2018-07-13 13:54:00,15945.736968
2018-07-13 13:55:00,15945.736968
2018-07-13 13:56:00,15945.736968
2018-07-13 13:57:00,15940.402968
2018-07-13 13:58:00,15935.068968
2018-07-13 13:59:00,15945.736968
2018-07-13 14:00:00,15951.070968
2018-07-13 14:01:00,15945.736968
2018-07-13 14:02:00,15935.068968
2018-07-13 14:03:00,15935.068968
2018-07-13 14:04:00,15935.068968
2018-07-13 14:05:00,15935.068968
2018-07-13 14:06:00,15935.068968
2018-07-13 14:07:00,15935.068968
2018-07-13 14:08:00,15935.068968
2018-07-13 14:09:00,15935.068968
2018-07-13 14:10:00,15937.735968
2018-07-13 14:11:00,15937.735968
2018-07-13 14:12:00,15937.735968
2018-07-13 14:13:00,15937.735968
2018-07-13 14:14:00,15935.068968
2018-07-13 14:15:00,15935.068968
2018-07-13 14:16:00,15935.068968
2018-07-13 14:17:00,15935.068968
2018-07-13 14:18:00,15940.402968
2018-07-13 14:19:00,15940.402968
2018-07-13 14:20:00,15940.402968
2018-07-13 14:21:00,15940.402968
2018-07-13 14:22:00,15940.402968
2018-07-13 14:23:00,15940.402968
2018-07-13 14:24:00,15940.402968
2018-07-13 14:25:00,15940.402968
2018-07-13 14:26:00,15940.402968
2018-07-13 14:27:00,15935.068968
2018-07-13 14:28:00,15929.734968
2018-07-13 14:29:00,15929.734968
2018-07-13 14:30:00,15929.734968
2018-07-13 14:31:00,15929.734968
2018-07-13 14:32:00,15929.734968
2018-07-13 14:33:00,15929.734968
2018-07-13 14:34:00,15924.400968
2018-07-13 14:35:00,15924.400968
2018-07-13 14:36:00,15919.066968
2018-07-13 14:37:00,15921.733968
2018-07-13 14:38:00,15921.733968
2018-07-13 14:39:00,15924.400968
2018-07-13 14:40:00,15924.400968
2018-07-13 14:41:00,15927.067968
2018-07-13 14:42:00,15927.067968
2018-07-13 14:43:00,15924.400968
2018-07-13 14:44:00,15929.734968
2018-07-13 14:45:00,15929.734968
2018-07-13 14:46:00,15929.734968
2018-07-13 14:47:00,15929.734968
2018-07-13 14:48:00,15929.734968
2018-07-13 14:49:00,15935.068968
2018-07-13 14:50:00,15929.734968
2018-07-13 14:51:00,15929.734968
2018-07-13 14:52:00,15929.734968
2018-07-13 14:53:00,15929.734968
2018-07-13 14:54:00,15924.400968
2018-07-13 14:55:00,15924.400968
2018-07-13 14:56:00,15924.400968
2018-07-13 14:57:00,15924.400968
2018-07-13 14:58:00,15924.400968
2018-07-13 14:59:00,15932.401968
2018-07-13 15:00:00,15935.068968
2018-07-13 15:01:00,15935.068968
2018-07-13 15:02:00,15940.402968
2018-07-13 15:03:00,15940.402968
2018-07-13 15:04:00,15940.402968
2018-07-13 15:05:00,15945.736968
2018-07-13 15:06:00,15945.736968
2018-07-13 15:07:00,15951.070968
2018-07-13 15:08:00,15951.070968
2018-07-13 15:09:00,15951.070968
2018-07-13 15:10:00,15951.070968
2018-07-13 15:11:00,15951.070968
2018-07-13 15:12:00,15951.070968
2018-07-13 15:13:00,15951.070968
2018-07-13 15:14:00,15951.070968
2018-07-13 15:15:00,15951.070968
2018-07-13 15:16:00,15951.070968
2018-07-13 15:17:00,15951.070968
2018-07-13 15:18:00,15956.404968
2018-07-13 15:19:00,15956.404968
2018-07-13 15:20:00,15956.404968
2018-07-13 15:21:00,15956.404968
2018-07-13 15:22:00,15956.404968
2018-07-13 15:23:00,15956.404968
2018-07-13 15:24:00,15961.738968
2018-07-13 15:25:00,15961.738968
2018-07-13 15:26:00,15967.072968
2018-07-13 15:27:00,15967.072968
2018-07-13 15:28:00,15967.072968
2018-07-13 15:29:00,15972.406968
2018-07-16 04:59:00,15891.0757614
2018-07-16 05:00:00,15857.3266824
2018-07-16 05:01:00,15862.5188484
2018-07-16 05:02:00,15867.7110144
2018-07-16 05:03:00,15867.7110144
2018-07-16 05:04:00,15867.7110144
2018-07-16 05:05:00,15867.7110144
2018-07-16 05:06:00,15872.9031804
2018-07-16 05:07:00,15867.7110144
2018-07-16 05:08:00,15862.5188484
2018-07-16 05:09:00,15857.3266824
2018-07-16 05:10:00,15857.3266824
2018-07-16 05:11:00,15857.3266824
2018-07-16 05:12:00,15867.7110144
