,NQ
2018-08-17 13:25:00,38230.0155917
2018-08-17 13:26:00,38232.6555917
2018-08-17 13:27:00,38242.3355917
2018-08-17 13:28:00,38247.6155917
2018-08-17 13:29:00,38237.4955917
2018-08-17 13:30:00,38242.3355917
2018-08-17 13:31:00,38236.1755917
2018-08-17 13:32:00,38231.7755917
2018-08-17 13:33:00,38236.1755917
2018-08-17 13:34:00,38231.7755917
2018-08-17 13:35:00,38230.0155917
2018-08-17 13:36:00,38213.7355917
2018-08-17 13:37:00,38212.8555917
2018-08-17 13:38:00,38213.2955917
2018-08-17 13:39:00,38216.8155917
2018-08-17 13:40:00,38216.8155917
2018-08-17 13:41:00,38221.2155917
2018-08-17 13:42:00,38229.1355917
2018-08-17 13:43:00,38240.1355917
2018-08-17 13:44:00,38234.4155917
2018-08-17 13:45:00,38234.4155917
2018-08-17 13:46:00,38224.7355917
2018-08-17 13:47:00,38224.7355917
2018-08-17 13:48:00,38230.8955917
2018-08-17 13:49:00,38226.4955917
2018-08-17 13:50:00,38232.6555917
2018-08-17 13:51:00,38234.4155917
2018-08-17 13:52:00,38240.5755917
2018-08-17 13:53:00,38259.0555917
2018-08-17 13:54:00,38269.6155917
2018-08-17 13:55:00,38274.8955917
2018-08-17 13:56:00,38274.8955917
2018-08-17 13:57:00,38270.9355917
2018-08-17 13:58:00,38266.5355917
2018-08-17 13:59:00,38266.0955917
2018-08-17 14:00:00,38267.8555917
2018-08-17 14:01:00,38269.6155917
2018-08-17 14:02:00,38263.4555917
2018-08-17 14:03:00,38259.0555917
2018-08-17 14:04:00,38262.5755917
2018-08-17 14:05:00,38262.5755917
2018-08-17 14:06:00,38255.5355917
2018-08-17 14:07:00,38248.9355917
2018-08-17 14:08:00,38243.6555917
2018-08-17 14:09:00,38231.3355917
2018-08-17 14:10:00,38234.4155917
2018-08-17 14:11:00,38233.5355917
2018-08-17 14:12:00,38238.3755917
2018-08-17 14:13:00,38231.7755917
2018-08-17 14:14:00,38236.6155917
2018-08-17 14:15:00,38236.1755917
2018-08-17 14:16:00,38228.2555917
2018-08-17 14:17:00,38224.7355917
2018-08-17 14:18:00,38228.2555917
2018-08-17 14:19:00,38237.0555917
2018-08-17 14:20:00,38240.1355917
2018-08-17 14:21:00,38234.4155917
2018-08-17 14:22:00,38234.4155917
2018-08-17 14:23:00,38235.2955917
2018-08-17 14:24:00,38230.8955917
2018-08-17 14:25:00,38227.3755917
2018-08-17 14:26:00,38226.4955917
2018-08-17 14:27:00,38227.3755917
2018-08-17 14:28:00,38231.3355917
2018-08-17 14:29:00,38222.9755917
2018-08-17 14:30:00,38222.0955917
2018-08-17 14:31:00,38223.8555917
2018-08-17 14:32:00,38227.3755917
2018-08-17 14:33:00,38227.3755917
2018-08-17 14:34:00,38231.3355917
2018-08-17 14:35:00,38232.6555917
2018-08-17 14:36:00,38235.2955917
2018-08-17 14:37:00,38233.9755917
2018-08-17 14:38:00,38237.0555917
2018-08-17 14:39:00,38237.4955917
2018-08-17 14:40:00,38244.5355917
2018-08-17 14:41:00,38248.4955917
2018-08-17 14:42:00,38257.2955917
2018-08-17 14:43:00,38249.3755917
2018-08-17 14:44:00,38250.2555917
2018-08-17 14:45:00,38251.1355917
2018-08-17 14:46:00,38246.7355917
2018-08-17 14:47:00,38236.1755917
2018-08-17 14:48:00,38230.0155917
2018-08-17 14:49:00,38231.3355917
2018-08-17 14:50:00,38235.7355917
2018-08-17 14:51:00,38229.1355917
2018-08-17 14:52:00,38237.0555917
2018-08-17 14:53:00,38232.2155917
2018-08-17 14:54:00,38234.4155917
2018-08-17 14:55:00,38235.2955917
2018-08-17 14:56:00,38235.7355917
2018-08-17 14:57:00,38242.3355917
2018-08-17 14:58:00,38231.7755917
2018-08-17 14:59:00,38222.0955917
2018-08-17 15:00:00,38217.6955917
2018-08-17 15:01:00,38220.3355917
2018-08-17 15:02:00,38227.3755917
2018-08-17 15:03:00,38225.6155917
2018-08-17 15:04:00,38222.9755917
2018-08-17 15:05:00,38224.2955917
2018-08-17 15:06:00,38223.4155917
2018-08-17 15:07:00,38226.4955917
2018-08-17 15:08:00,38227.3755917
2018-08-17 15:09:00,38220.3355917
2018-08-17 15:10:00,38221.2155917
2018-08-17 15:11:00,38222.9755917
2018-08-17 15:12:00,38223.8555917
2018-08-17 15:13:00,38228.2555917
2018-08-17 15:14:00,38218.1355917
2018-08-17 15:29:00,38218.5755917
2018-08-17 15:30:00,38219.4555917
2018-08-17 15:31:00,38220.3355917
2018-08-17 15:32:00,38219.8955917
2018-08-17 15:33:00,38220.7755917
2018-08-17 15:34:00,38220.7755917
2018-08-17 15:35:00,38220.3355917
2018-08-17 15:36:00,38222.5355917
2018-08-17 15:37:00,38223.8555917
2018-08-17 15:38:00,38225.6155917
2018-08-17 15:39:00,38222.5355917
2018-08-17 15:40:00,38225.6155917
2018-08-17 15:41:00,38223.8555917
2018-08-17 15:42:00,38222.5355917
2018-08-17 15:43:00,38222.9755917
2018-08-17 15:44:00,38221.2155917
2018-08-17 15:45:00,38223.4155917
2018-08-17 15:46:00,38222.0955917
2018-08-17 15:47:00,38221.6555917
2018-08-17 15:48:00,38223.8555917
2018-08-17 15:49:00,38223.8555917
2018-08-17 15:50:00,38222.5355917
2018-08-17 15:51:00,38223.4155917
2018-08-17 15:52:00,38223.8555917
2018-08-17 15:53:00,38225.1755917
2018-08-17 15:54:00,38229.5755917
2018-08-17 15:55:00,38227.8155917
2018-08-17 15:56:00,38228.2555917
2018-08-17 15:57:00,38227.3755917
2018-08-17 15:58:00,38228.2555917
2018-08-17 15:59:00,38226.9355917
2018-08-19 16:59:00,38228.1955906
2018-08-19 17:00:00,38240.9455906
2018-08-19 17:01:00,38236.8655906
2018-08-19 17:02:00,38236.3555906
2018-08-19 17:03:00,38235.3355906
2018-08-19 17:04:00,38233.2955906
2018-08-19 17:05:00,38234.3155906
2018-08-19 17:06:00,38246.0455906
2018-08-19 17:07:00,38242.4755906
2018-08-19 17:08:00,38243.4955906
2018-08-19 17:09:00,38247.5755906
2018-08-19 17:10:00,38244.0055906
2018-08-19 17:11:00,38243.4955906
2018-08-19 17:12:00,38243.4955906
2018-08-19 17:13:00,38242.9855906
2018-08-19 17:14:00,38238.9055906
2018-08-19 17:15:00,38243.4955906
2018-08-19 17:16:00,38244.5155906
2018-08-19 17:17:00,38244.0055906
2018-08-19 17:18:00,38244.5155906
2018-08-19 17:19:00,38248.0855906
2018-08-19 17:20:00,38247.0655906
2018-08-19 17:21:00,38244.0055906
2018-08-19 17:22:00,38245.5355906
2018-08-19 17:23:00,38244.0055906
2018-08-19 17:24:00,38245.5355906
2018-08-19 17:25:00,38241.9655906
2018-08-19 17:26:00,38244.5155906
2018-08-19 17:27:00,38245.5355906
2018-08-19 17:28:00,38247.5755906
2018-08-19 17:29:00,38243.4955906
2018-08-19 17:30:00,38249.1055906
2018-08-19 17:31:00,38248.5955906
2018-08-19 17:32:00,38250.6355906
2018-08-19 17:33:00,38250.1255906
2018-08-19 17:34:00,38251.1455906
2018-08-19 17:35:00,38251.6555906
