,SXF
2018-07-20 11:54:00,18188.9825035
2018-07-20 11:55:00,18187.3708795
2018-07-20 11:56:00,18187.3708795
2018-07-20 11:57:00,18184.1476315
2018-07-20 11:58:00,18184.1476315
2018-07-20 11:59:00,18180.9243835
2018-07-20 12:00:00,18180.9243835
2018-07-20 12:01:00,18180.9243835
2018-07-20 12:02:00,18176.0895115
2018-07-20 12:03:00,18180.9243835
2018-07-20 12:04:00,18184.1476315
2018-07-20 12:05:00,18180.9243835
2018-07-20 12:06:00,18182.5360075
2018-07-20 12:07:00,18180.9243835
2018-07-20 12:08:00,18177.7011355
2018-07-20 12:09:00,18171.2546395
2018-07-20 12:10:00,18174.4778875
2018-07-20 12:11:00,18174.4778875
2018-07-20 12:12:00,18171.2546395
2018-07-20 12:13:00,18171.2546395
2018-07-20 12:14:00,18177.7011355
2018-07-20 12:15:00,18177.7011355
2018-07-20 12:16:00,18177.7011355
2018-07-20 12:17:00,18174.4778875
2018-07-20 12:18:00,18174.4778875
2018-07-20 12:19:00,18174.4778875
2018-07-20 12:20:00,18176.0895115
2018-07-20 12:21:00,18176.0895115
2018-07-20 12:22:00,18176.0895115
2018-07-20 12:23:00,18176.0895115
2018-07-20 12:24:00,18177.7011355
2018-07-20 12:25:00,18171.2546395
2018-07-20 12:26:00,18176.0895115
2018-07-20 12:27:00,18171.2546395
2018-07-20 12:28:00,18168.0313915
2018-07-20 12:29:00,18171.2546395
2018-07-20 12:30:00,18168.0313915
2018-07-20 12:31:00,18166.4197675
2018-07-20 12:32:00,18168.0313915
2018-07-20 12:33:00,18169.6430155
2018-07-20 12:34:00,18166.4197675
2018-07-20 12:35:00,18164.8081435
2018-07-20 12:36:00,18164.8081435
2018-07-20 12:37:00,18168.0313915
2018-07-20 12:38:00,18164.8081435
2018-07-20 12:39:00,18164.8081435
2018-07-20 12:40:00,18164.8081435
2018-07-20 12:41:00,18161.5848955
2018-07-20 12:42:00,18161.5848955
2018-07-20 12:43:00,18164.8081435
2018-07-20 12:44:00,18164.8081435
2018-07-20 12:45:00,18166.4197675
2018-07-20 12:46:00,18164.8081435
2018-07-20 12:47:00,18164.8081435
2018-07-20 12:48:00,18168.0313915
2018-07-20 12:49:00,18177.7011355
2018-07-20 12:50:00,18177.7011355
2018-07-20 12:51:00,18174.4778875
2018-07-20 12:52:00,18172.8662635
2018-07-20 12:53:00,18171.2546395
2018-07-20 12:54:00,18171.2546395
2018-07-20 12:55:00,18171.2546395
2018-07-20 12:56:00,18172.8662635
2018-07-20 12:57:00,18171.2546395
2018-07-20 12:58:00,18171.2546395
2018-07-20 12:59:00,18174.4778875
2018-07-20 13:00:00,18176.0895115
2018-07-20 13:01:00,18177.7011355
2018-07-20 13:02:00,18174.4778875
2018-07-20 13:03:00,18174.4778875
2018-07-20 13:04:00,18174.4778875
2018-07-20 13:05:00,18177.7011355
2018-07-20 13:06:00,18174.4778875
2018-07-20 13:07:00,18171.2546395
2018-07-20 13:08:00,18168.0313915
2018-07-20 13:09:00,18168.0313915
2018-07-20 13:10:00,18158.3616475
2018-07-20 13:11:00,18158.3616475
2018-07-20 13:12:00,18158.3616475
2018-07-20 13:13:00,18158.3616475
2018-07-20 13:14:00,18158.3616475
2018-07-20 13:15:00,18161.5848955
2018-07-20 13:16:00,18158.3616475
2018-07-20 13:17:00,18161.5848955
2018-07-20 13:18:00,18161.5848955
2018-07-20 13:19:00,18161.5848955
2018-07-20 13:20:00,18161.5848955
2018-07-20 13:21:00,18164.8081435
2018-07-20 13:22:00,18158.3616475
2018-07-20 13:23:00,18159.9732715
2018-07-20 13:24:00,18159.9732715
2018-07-20 13:25:00,18158.3616475
2018-07-20 13:26:00,18155.1383995
2018-07-20 13:27:00,18151.9151515
2018-07-20 13:28:00,18153.5267755
2018-07-20 13:29:00,18148.6919035
2018-07-20 13:30:00,18148.6919035
2018-07-20 13:31:00,18148.6919035
2018-07-20 13:32:00,18145.4686555
2018-07-20 13:33:00,18142.2454075
2018-07-20 13:34:00,18135.7989115
2018-07-20 13:35:00,18129.3524155
