,GBL
2018-01-10 06:36:00,42307.1529452
2018-01-10 06:37:00,42307.1529452
2018-01-10 06:38:00,42307.1529452
2018-01-10 06:39:00,42313.4558652
2018-01-10 06:40:00,42300.8500252
2018-01-10 06:41:00,42307.1529452
2018-01-10 06:42:00,42307.1529452
2018-01-10 06:43:00,42300.8500252
2018-01-10 06:44:00,42294.5471052
2018-01-10 06:45:00,42281.9412652
2018-01-10 06:46:00,42288.2441852
2018-01-10 06:47:00,42288.2441852
2018-01-10 06:48:00,42294.5471052
2018-01-10 06:49:00,42294.5471052
2018-01-10 06:50:00,42294.5471052
2018-01-10 06:51:00,42307.1529452
2018-01-10 06:52:00,42307.1529452
2018-01-10 06:53:00,42307.1529452
2018-01-10 06:54:00,42313.4558652
2018-01-10 06:55:00,42307.1529452
2018-01-10 06:56:00,42294.5471052
2018-01-10 06:57:00,42307.1529452
2018-01-10 06:58:00,42313.4558652
2018-01-10 06:59:00,42307.1529452
2018-01-10 07:00:00,42313.4558652
2018-01-10 07:01:00,42307.1529452
2018-01-10 07:02:00,42313.4558652
2018-01-10 07:03:00,42307.1529452
2018-01-10 07:04:00,42319.7587852
2018-01-10 07:05:00,42319.7587852
2018-01-10 07:06:00,42316.6073252
2018-01-10 07:07:00,42326.0617052
2018-01-10 07:08:00,42319.7587852
2018-01-10 07:09:00,42332.3646252
2018-01-10 07:10:00,42326.0617052
2018-01-10 07:11:00,42326.0617052
2018-01-10 07:12:00,42326.0617052
2018-01-10 07:13:00,42313.4558652
2018-01-10 07:14:00,42313.4558652
2018-01-10 07:15:00,42319.7587852
2018-01-10 07:16:00,42332.3646252
2018-01-10 07:17:00,42326.0617052
2018-01-10 07:18:00,42319.7587852
2018-01-10 07:19:00,42313.4558652
2018-01-10 07:20:00,42307.1529452
2018-01-10 07:21:00,42313.4558652
2018-01-10 07:22:00,42313.4558652
2018-01-10 07:23:00,42294.5471052
2018-01-10 07:24:00,42294.5471052
2018-01-10 07:25:00,42294.5471052
2018-01-10 07:26:00,42300.8500252
2018-01-10 07:27:00,42288.2441852
2018-01-10 07:28:00,42278.7898052
2018-01-10 07:29:00,42281.9412652
2018-01-10 07:30:00,42278.7898052
2018-01-10 07:31:00,42281.9412652
2018-01-10 07:32:00,42281.9412652
2018-01-10 07:33:00,42281.9412652
2018-01-10 07:34:00,42269.3354252
2018-01-10 07:35:00,42269.3354252
2018-01-10 07:36:00,42275.6383452
2018-01-10 07:37:00,42269.3354252
2018-01-10 07:38:00,42244.1237452
2018-01-10 07:39:00,42218.9120652
2018-01-10 07:40:00,42237.8208252
2018-01-10 07:41:00,42237.8208252
2018-01-10 07:42:00,42231.5179052
2018-01-10 07:43:00,42231.5179052
2018-01-10 07:44:00,42225.2149852
2018-01-10 07:45:00,42218.9120652
2018-01-10 07:46:00,42225.2149852
2018-01-10 07:47:00,42218.9120652
2018-01-10 07:48:00,42218.9120652
2018-01-10 07:49:00,42218.9120652
2018-01-10 07:50:00,42231.5179052
2018-01-10 07:51:00,42218.9120652
2018-01-10 07:52:00,42237.8208252
2018-01-10 07:53:00,42256.7295852
2018-01-10 07:54:00,42244.1237452
2018-01-10 07:55:00,42250.4266652
2018-01-10 07:56:00,42250.4266652
2018-01-10 07:57:00,42244.1237452
2018-01-10 07:58:00,42244.1237452
2018-01-10 07:59:00,42237.8208252
2018-01-10 08:00:00,42244.1237452
2018-01-10 08:01:00,42237.8208252
2018-01-10 08:02:00,42237.8208252
2018-01-10 08:03:00,42231.5179052
2018-01-10 08:04:00,42237.8208252
2018-01-10 08:05:00,42231.5179052
2018-01-10 08:06:00,42244.1237452
2018-01-10 08:07:00,42225.2149852
2018-01-10 08:08:00,42231.5179052
2018-01-10 08:09:00,42212.6091452
2018-01-10 08:10:00,42212.6091452
2018-01-10 08:11:00,42212.6091452
2018-01-10 08:12:00,42206.3062252
2018-01-10 08:13:00,42212.6091452
2018-01-10 08:14:00,42212.6091452
2018-01-10 08:15:00,42212.6091452
2018-01-10 08:16:00,42206.3062252
2018-01-10 08:17:00,42218.9120652
2018-01-10 08:18:00,42212.6091452
2018-01-10 08:19:00,42206.3062252
2018-01-10 08:20:00,42212.6091452
2018-01-10 08:21:00,42212.6091452
2018-01-10 08:22:00,42225.2149852
2018-01-10 08:23:00,42206.3062252
2018-01-10 08:24:00,42206.3062252
2018-01-10 08:25:00,42218.9120652
2018-01-10 08:26:00,42225.2149852
2018-01-10 08:27:00,42225.2149852
2018-01-10 08:28:00,42218.9120652
2018-01-10 08:29:00,42218.9120652
2018-01-10 08:30:00,42218.9120652
2018-01-10 08:31:00,42212.6091452
2018-01-10 08:32:00,42193.7003852
2018-01-10 08:33:00,42193.7003852
2018-01-10 08:34:00,42212.6091452
2018-01-10 08:35:00,42212.6091452
2018-01-10 08:36:00,42206.3062252
2018-01-10 08:37:00,42200.0033052
2018-01-10 08:38:00,42200.0033052
2018-01-10 08:39:00,42212.6091452
2018-01-10 08:40:00,42200.0033052
2018-01-10 08:41:00,42206.3062252
2018-01-10 08:42:00,42200.0033052
2018-01-10 08:43:00,42193.7003852
2018-01-10 08:44:00,42193.7003852
2018-01-10 08:45:00,42206.3062252
2018-01-10 08:46:00,42218.9120652
2018-01-10 08:47:00,42225.2149852
2018-01-10 08:48:00,42228.3664452
2018-01-10 08:49:00,42237.8208252
2018-01-10 08:50:00,42237.8208252
2018-01-10 08:51:00,42231.5179052
2018-01-10 08:52:00,42244.1237452
2018-01-10 08:53:00,42263.0325052
2018-01-10 08:54:00,42269.3354252
2018-01-10 08:55:00,42256.7295852
2018-01-10 08:56:00,42256.7295852
2018-01-10 08:57:00,42256.7295852
2018-01-10 08:58:00,42256.7295852
2018-01-10 08:59:00,42263.0325052
2018-01-10 09:00:00,42256.7295852
2018-01-10 09:01:00,42263.0325052
2018-01-10 09:02:00,42269.3354252
2018-01-10 09:03:00,42275.6383452
2018-01-10 09:04:00,42281.9412652
2018-01-10 09:05:00,42281.9412652
2018-01-10 09:06:00,42288.2441852
2018-01-10 09:07:00,42269.3354252
2018-01-10 09:08:00,42263.0325052
2018-01-10 09:09:00,42281.9412652
2018-01-10 09:10:00,42281.9412652
2018-01-10 09:11:00,42281.9412652
2018-01-10 09:12:00,42281.9412652
2018-01-10 09:13:00,42288.2441852
2018-01-10 09:14:00,42294.5471052
2018-01-10 09:15:00,42300.8500252
2018-01-10 09:16:00,42288.2441852
2018-01-10 09:17:00,42275.6383452
2018-01-10 09:18:00,42275.6383452
2018-01-10 09:19:00,42281.9412652
2018-01-10 09:20:00,42288.2441852
2018-01-10 09:21:00,42288.2441852
2018-01-10 09:22:00,42294.5471052
2018-01-10 09:23:00,42300.8500252
2018-01-10 09:24:00,42294.5471052
2018-01-10 09:25:00,42294.5471052
2018-01-10 09:26:00,42288.2441852
